Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Jivan Sobrinho-Wheeler,Timothy J. Toomey,Quinton Zondervan,Yeas,Nays,Present,Absent,Recused,Link,Notes,Summary
CMA 2020 #127,2020-06-15 Regular,2020-06-15,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2645&MediaPosition=&ID=12013&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $60,000 received from Community Development Block Grant (CDBG) program income to the Public Investment Fund Community Development Extraordinary Expenditures Account which will increase funds available to continue the development of affordable housing for residents."
CMA 2020 #128,2020-06-15 Regular,2020-06-15,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2645&MediaPosition=&ID=12019&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  the Partnership Grant from the U.S. Department of Housing and Urban Development (HUD), in the amount of $15,000 to the Grant Fund Human Rights Other Ordinary Maintenance account which will be used for Fair Housing outreach efforts."
CMA 2020 #129,2020-06-15 Regular,2020-06-15,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2645&MediaPosition=&ID=12015&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Cambridge Food Pantry grant received from the Cambridge Health Alliance for $15,000 to the Grant Fund Human Services Other Ordinary Maintenance account which will be used to support the Cambridge Food Pantry Network."
CMA 2020 #130,2020-06-15 Regular,2020-06-15,7,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2645&MediaPosition=&ID=12017&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of Emergency Solutions Grant (ESG) from the U.S. Department of Housing and Urban Development (HUD) in the amount of $228,505 to the Grant Fund Human Services Salary and Wages account ($17,137) and to the Grant Fund Human Services Other Ordinary Maintenance account ($211,368) which will be used for shelter operating costs, providing essential services to homeless persons outside of the shelter setting; rapid re-housing and homelessness prevention case management; short and medium-term rental assistance; and financial assistance needed to gain or retain permanent housing."
CMA 2020 #131,2020-06-15 Regular,2020-06-15,8,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2645&MediaPosition=&ID=12018&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $4,994,743 from the U.S. Department of Housing and Urban Development (HUD) to the Grant Fund Human Services Salary and Wages account ($339,527), and to the Grant Fund Human Services Other Ordinary Maintenance account ($4,655,216) and will be used to contract with homeless services providers and cover the costs related to serving homeless persons in Cambridge."
CMA 2020 #132,2020-06-15 Regular,2020-06-15,9,Transmitting Communication,,,,Referred,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2645&MediaPosition=&ID=12024&CssClass=,to committee report #1,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a response to the City Council forwarding the ITD budget with an unfavorable recommendation."
CMA 2020 #133,2020-06-15 Regular,2020-06-15,10,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2645&MediaPosition=&ID=12021&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  $50,000.00 from Free Cash to the Grant Fund Executive Other Ordinary Maintenance account which will be used to support the City’s digital equity efforts to support qualifying families during the COVID-19 pandemic who do not have internet access at home."
CMA 2020 #134,2020-06-22 Regular,2020-06-22,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12072&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a COVID-19 update."
CMA 2020 #135,2020-06-22 Regular,2020-06-22,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12065&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Mass Cultural Council FY2020 Safe Harbors grant in the amount of $2,250 to the Grant Fund Historical Commission Salaries and Wages account which  will support the Commission’s part-time archives assistant."
CMA 2020 #136,2020-06-22 Regular,2020-06-22,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12063&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $1,245 received from the Board of Library Commissioners (MLBC) to the Grant Fund Library Other Ordinary Maintenance account which will be used to support community summer learning programs at the Library."
CMA 2020 #137,2020-06-22 Regular,2020-06-22,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12067&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  $500.00 from Cambridge in Motion, through the Cambridge Public Health Department, to the grant fund Emergency Communication Other Ordinary Maintenance account which will be used to support a program to encourage all staff to take on a monthly challenge designed to improve physical activity during the shift such as standing for fifteen minutes each hour or walking the building during breaks."
CMA 2020 #138,2020-06-22 Regular,2020-06-22,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12064&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to  a transfer in the amount of $65,000 from the General Fund Law Department Salaries and Wages to the General Fund Law Department Other Ordinary Maintenance account which will be used to cover cost increases related to litigation and legal matters handled by outside counsel."
CMA 2020 #139,2020-06-22 Regular,2020-06-22,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12068&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $1,641,000 from Free Cash, to the Public Investment Fund Public Works Extraordinary Expenditures Account for the first year of a two-year lease of operating and office space for the Department of Public Works on Mooney Street."
CMA 2020 #140,2020-06-22 Regular,2020-06-22,7,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12020&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $5,300,000 from Free Cash to the Public Investment Fund Human Services Extraordinary Expenditures Account to construct a new Universal Design Playground."
CMA 2020 #141,2020-06-22 Regular,2020-06-22,8,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12069&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to a  recommendation of the Community Preservation Act Committee (CPAC) for an allocation of $1,000,000 from the CPA Fund Balance to the Community Preservation Act Fund COVID-19 Housing Stabilization Program."
CMA 2020 #142,2020-06-22 Regular,2020-06-22,9,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12014&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the authorization of a spending limit of $1,300,000 FY2021, for the Renewable Energy and Greenhouse Gas Reduction Revolving Fund, pursuant to Chapter 3.24 of the Municipal Ordinance titled “Departmental Revolving Funds”."
CMA 2020 #143,2020-06-22 Regular,2020-06-22,10,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12070&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of Federal CARES Act funds in the amount of $1,529,834 to the Public Investment Fund Community Development Department Extraordinary Expenditures account which will be used to assist residents and small business owners who are impacted by the virus."
CMA 2020 #144,2020-06-22 Regular,2020-06-22,11,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12071&CssClass=,two orders that were approved by roll call,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  grant in the amount of $613,262 from the U. S. Department of Housing and Urban Development (HUD) through the HOME Program to the Public Investment Fund Community Development Extraordinary Expenditures account ($578,992) and to the Grant Fund Community Development Salary & Wages account ($34,270) which will be used to continue the development and rehabilitation of affordable housing in the City of Cambridge."
CMA 2020 #145,2020-06-22 Regular,2020-06-22,12,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12080&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $120,000 from Free Cash to the General Fund Executive (Cambridge Office of Tourism) Other Ordinary Maintenance account which will directly support a city-wide campaign, “Hello Again” in collaboration with the City and the business community - to welcome businesses, customers, and the surrounding neighborhoods back by promoting health safety and positivity following the COVID-19 shut down."
CMA 2020 #146,2020-06-29 Regular,2020-06-29,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2647&MediaPosition=&ID=12137&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to an update on COVID-19."
CMA 2020 #147,2020-06-29 Regular,2020-06-29,2,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2647&MediaPosition=&ID=12136&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the new appointment of the following persons as associate member of the Board of Zoning Appeal for a term of 5-years, effective June 29, 2020:  Matina Williams and Jason Marshall"
CMA 2020 #148,2020-07-27 Special,2020-07-27,1,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12308&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the reappointments of the following persons as member of the Human Rights Commissioner for a term of three years, effective July 27, 2020: Bonita Cox, Mercedes Evans, Joshua Stadlan, Sabrina Selk and Kathryn Stack"
CMA 2020 #149,2020-07-27 Special,2020-07-27,2,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12301&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following person as a new member of the Board of Trustees of the Cambridge Health Alliance to fill a vacated seat representing Somerville from July 21, 2020 through June 30, 2022:  Bryan Simmons"
CMA 2020 #150,2020-07-27 Special,2020-07-27,3,Transmitting Communication,,,,Report Accepted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12302&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to  a Surveillance Technology Impact Report for electronic poll pads, requested by the Election Commission."
CMA 2020 #151,2020-07-27 Special,2020-07-27,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12296&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the  transfer of $50,000 from the General Fund Electrical Department Salary and Wages Account to the General Fund Electrical Travel and Training Account (Judgments and Damages) to cover medical services and/or prescription reimbursement costs for personnel injured in performance of their duties."
CMA 2020 #152,2020-07-27 Special,2020-07-27,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12295&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of an FY21 State 911 Department Emergency Medical Dispatch (EMD) Grant in the amount of $23,743 to the Grant Fund Emergency Communications Other Ordinary Maintenance Account which supports administering quality assurance for the emergency medical protocol used by Emergency Communications staff to provide pre and post-dispatch instructions for medical emergencies."
CMA 2020 #153,2020-07-27 Special,2020-07-27,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12290&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $10,489,930 received through the Coronavirus Relief Fund as part of the Federal Cares Act, to the Grant Fund Finance Department Other Ordinary Maintenance Account which will support expenditures related to core municipal services; public health; and services and supports to residents."
CMA 2020 #154,2020-07-27 Special,2020-07-27,7,Awaiting Report Response,,POR 2020 #36,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12298&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-16, regarding feasibility of eliminating Library late fines."
CMA 2020 #155,2020-07-27 Special,2020-07-27,8,Awaiting Report Response,,POR 2020 #2,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12297&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number Awaiting Report 20-1, regarding report on the work that has been done to coordinate efforts to strengthen the local small business community and the arts through tourism."
CMA 2020 #156,2020-07-27 Special,2020-07-27,9,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12292&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $2,064,930 received from HUD as part of the Housing Opportunities for People with Aids (HOPWA) Grant ($1,802,640), which the City of Cambridge manages; as well as from the Coronavirus Relief Fund, which provides HOPWA funds ($262,330) through the CARES Act to address the fallout of the COVID-19 pandemic in the United States; to the Grant Fund Community Development Department Other Ordinary Maintenance Account which will be used for assisted living programs and supportive services; shelter services, rental assistance and housing search services."
CMA 2020 #157,2020-07-27 Special,2020-07-27,10,Awaiting Report Response,,POR 2020 #21,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12299&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number  20-08, regarding working with neighbors in the vicinity of Eustis Street to implement traffic calming measures on this street."
CMA 2020 #158,2020-07-27 Special,2020-07-27,11,Awaiting Report Response,,POR 2019 #328,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12307&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 19-127, regarding public utilities' load forecasting and infrastructure planning."
CMA 2020 #159,2020-07-27 Special,2020-07-27,12,Awaiting Report Response,,POR 2020 #145,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12304&CssClass=,health and environment,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-28, regarding parking restrictions associated with the Port Infrastructure Improvement Project."
CMA 2020 #160,2020-07-27 Special,2020-07-27,13,Awaiting Report Response,,POR 2019 #338,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12303&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 19-132, regarding a report on tree planting at Magazine Beach Park."
CMA 2020 #161,2020-07-27 Special,2020-07-27,14,Awaiting Report Response,,POR 2020 #26,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12300&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-11, regarding renaming the fleet maintenance area of the Ryan Garage in honor of Sydney Cox."
CMA 2020 #162,2020-07-27 Special,2020-07-27,15,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12288&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Agenda for Children’s Talk and Read grant in the amount of $500.00 received from the Cambridge Public Health Department to the Grant Fund Human Service Programs Other Ordinary Maintenance account ($500.00) which will be used to cover refreshment and food costs for Community Engagement Team (CET) networking events."
CMA 2020 #163,2020-07-27 Special,2020-07-27,16,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12287&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  the Summer Food Program grant funded by the U.S. Department of Agriculture through the Massachusetts Department of Education in the amount of $380,250 to the Grant Fund Human Service Programs Salary and Wage account ($10,000) and to the Other Ordinary Maintenance account ($370,250) which will be used to provide nutritious meals to Cambridge youth at the same 8 sites utilized by Cambridge Public Schools when the COVID-19 crisis began through September 4, 2020 as well as to fund dinner sites in conjunction with the Book Bike and Food for Free."
CMA 2020 #164,2020-07-27 Special,2020-07-27,17,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12275&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a grant from the Massachusetts Department of Elementary and Secondary Education, Adult and Community Learning Services, in the amount of $842,930.00 to the Grant Fund Human Service Programs Salary and Wages account ($790,872.00), Other Ordinary Maintenance account ($51,233.00), and to the Travel and Training account ($825.00) which will fund:  the Community Learning Center’s primary ESOL and ABE teaching, educational and career advising, and assessment; the coordination of services to students with documented disabilities, curriculum development and coordination for math and English Language Arts, technology coordination, volunteer coordination, outreach activities and child care services to the ESOL family literacy class at the Peabody School; administrative costs for data entry, reception, clerical work, and fiscal tracking; and the second CNA training program for FY21."
CMA 2020 #165,2020-07-27 Special,2020-07-27,18,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12276&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a Department of Elementary and Secondary Education (DESE) grant in the amount of $58,995 to the Grant Fund Human Service Programs Salary and Wages account ($33,441) and to Other Ordinary Maintenance account ($25,554) which will fund the Integrated English Literacy and Civics Education Program, and will provide an integrated education and training program for immigrant adults in the Metro North area who are interested in becoming certified nursing assistants and home health aides (CNA/HHA)."
CMA 2020 #166,2020-07-27 Special,2020-07-27,19,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12277&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a Department of Elementary and Secondary Education (DESE) grant in the amount of $79,992 to the Grant Fund Human Service Programs Salary and Wages account ($47,084), and to the Grant Fund Human Service Programs Other Ordinary Maintenance account ($32,908) which will be used to provide an integrated education and training program to adults in the Metro North area who want to start a career in the Information Technology field and work as Computer User Support Specialists, Help Desk Technicians, etc. Upon graduation, they will be able to take the COMP TIA+ exam and earn an industry recognized credential."
CMA 2020 #167,2020-07-27 Special,2020-07-27,20,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12278&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Adult and Community Learning Services grant received from the Massachusetts Department of Elementary and Secondary Education (DESE) in the amount of $222,472 to the Grant Fund Human Service Programs Salary and Wages account ($198,729), and to the Grant Fund Human Service Programs Other Ordinary Maintenance account ($23,743) which will fund ESOL teaching, advising, and assessment, the grant provides for technology integration activities and coordination, and tech support for students to be able to access remote classes and revision of tech policies. It also includes administrative costs for data entry, reception, clerical work, and fiscal tracking."
CMA 2020 #168,2020-07-27 Special,2020-07-27,21,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12286&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  the Low Income Heating Assistance Program grant in the amount of $292,308, funded by the Federal Department of Health and Human Services and administered in Massachusetts by the Commonwealth’s Department of Housing and Community Development to the Grant Fund Human Service Programs Salary and Wages account ($32,875), and to the Grant Fund Human Service Programs Other Ordinary Maintenance account ($259,433) which will be used to operate the Low Income Heating Assistance Program (LIHEAP) serving Cambridge and Somerville."
CMA 2020 #169,2020-07-27 Special,2020-07-27,22,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12285&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of additional funds for the Community Learning Center’s Massachusetts Department of Elementary and Secondary Education (DESE)/Community Learning Services state grant in the amount of $1,250 to the Grant Fund Human Service Programs Other Ordinary Maintenance account which will be used to pay for office supplies."
CMA 2020 #170,2020-07-27 Special,2020-07-27,23,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12283&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a donation to the Multi-Service Center in the amount of $1,200 to the Grant Fund Human Service Programs Other Ordinary Maintenance account which will be used to support rental assistance for low income residents at risk of losing housing."
CMA 2020 #171,2020-07-27 Special,2020-07-27,24,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12282&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Project Bread Summer Eats grant in the amount of $4,000 to the Grant Fund Human Services Other Ordinary Maintenance account which will fund the Summer Food Program by Project Bread and will be used to enhance promotion and outreach, support activities, and for program related supplies."
CMA 2020 #172,2020-07-27 Special,2020-07-27,25,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12280&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of new Emergency Solutions Grant (ESG) funds from the U.S. Department of Housing and Urban Development (HUD) in the amount of $236,500 to the Grant Fund Human Services Salary and Wages account ($21,500) and to the Other Ordinary Maintenance account ($215,000) which will be used to prevent, prepare for, and respond to the coronavirus pandemic among individuals and families who are homeless and will support shelter operating costs and provision of essential services to homeless persons outside of a shelter setting."
CMA 2020 #173,2020-07-27 Special,2020-07-27,26,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12279&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the ESOL Grant for $88,766 funded by the Massachusetts Department of Education, Adult and Community Learning Services to the Grant Fund Human Service Programs Salary and Wages account ($81,972), to the Other Ordinary Maintenance account ($6,394), and to the Travel and Training account ($400) which will support core ESOL services provided by the Community Learning Center and will also support ESOL curriculum development and coordination, civics education activities and coordination as well as administrative costs for data entry, reception, clerical work and fiscal tracking."
CMA 2020 #174,2020-07-27 Special,2020-07-27,27,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12309&CssClass=,and passed to a second reading,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-33, regarding implementing a Tenants’ Rights and Resources Notification Act that would require owners and management companies to include tenants’ rights and resources information when issuing eviction notifications including at the initial Notice to Quit stage."
