Unique Identifier,Agenda Number,Meeting,Meeting Date,Sponsor,Co-Sponsors,Charter Right,Amended,Outcome,Vote,Marc C. McGovern,Jan Devereux,Dennis J. Carlone,Alanna Mallon,Sumbul Siddiqui,E. Denise Simmons,Timothy J. Toomey,Quinton Zondervan,Craig A. Kelley,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
POR 2018 #197,14,2018-07-30 Regular,2018-07-30,Quinton Zondervan,"Dennis J. Carlone,Craig A. Kelley,Jan Devereux",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7499&CssClass=,"That the City Manager is requested to adopt a policy of replacing any failed 4000K LED streetlights with warmer alternatives as opportunities arise, and offering shielding/filtering upon request from nearby residents whenever possible.",
POR 2018 #198,15,2018-07-30 Regular,2018-07-30,Marc C. McGovern,Quinton Zondervan,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7500&CssClass=,"That the Neighborhood and Long-Term Planning, Public Facilities, Arts, and Celebrations Committee hold a hearing before October to discuss the various events being planned for Indigenous Peoples’ Day 2018 and ways to properly observe the holiday in a way that promotes the culture, history, and diversity of Native American peoples during future years.",
POR 2018 #199,16,2018-07-30 Regular,2018-07-30,Craig A. Kelley,"Quinton Zondervan,Alanna Mallon,Jan Devereux",,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7501&CssClass=,That the City Manager is requested to confer with relevant City staff to determine the navigational editing capabilities of the City of Cambridge.,
POR 2018 #200,17,2018-07-30 Regular,2018-07-30,Alanna Mallon,"E. Denise Simmons,Sumbul Siddiqui,Marc C. McGovern",,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7504&CssClass=,"That the City Manager is requested to contract with an outside survey company to conduct a comprehensive evaluation of inclusionary tenants' experiences, with a particular emphasis on biased practices.",
POR 2018 #235,18,2018-07-30 Regular,2018-07-30,Craig A. Kelley,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7753&CssClass=,The City Manager be and hereby is requested to direct the City Solicitor and the Assistant City Manager for Community Development to explore any alternatives to assist any affordable housing projects as it relates to the Brown petition,From Committee Report
POR 2018 #201,1,2018-09-17 Regular,2018-09-17,Alanna Mallon,,Timothy J. Toomey,,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7532&CssClass=,That the City Manager is requested to work with the Community Development Department to establish a Senior Living Overlay District at the current site of Sancta Maria Nursing Facility to encourage and incentivize redevelopment specifically for continuum of care services.,CHARTER RIGHT EXERCISED BY COUNCILLOR TOOMEY
POR 2018 #202,2,2018-09-17 Regular,2018-09-17,E. Denise Simmons,,Timothy J. Toomey,,Order Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7534&CssClass=,That the City Manager is requested to direct the appropriate City personnel to explore the feasibility of establishing a crosswalk at the intersection of Soden Street and Western Avenue.,CHARTER RIGHT EXERCISED BY COUNCILLOR TOOMEY
POR 2018 #203,3,2018-09-17 Regular,2018-09-17,Craig A. Kelley,"Timothy J. Toomey,Marc C. McGovern",Timothy J. Toomey,,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7540&CssClass=,"That the City Manager is requested to confer with the appropriate City departments and relevant housing partners to aggressively attempt to obtain, or help others obtain, the Santa Maria property for purposes of affordable housing.",CHARTER RIGHT EXERCISED BY COUNCILLOR TOOMEY
POR 2018 #204,4,2018-09-17 Regular,2018-09-17,Marc C. McGovern,"Jan Devereux,Quinton Zondervan",Timothy J. Toomey,,Order Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7558&CssClass=,That the City Manager is requested to work with the Police Commissioner to increase enforcement of the Bike Lane Bill to keep our bicycle infrastructure free and unobstructed.,CHARTER RIGHT EXERCISED BY COUNCILLOR TOOMEY
POR 2018 #205,5,2018-09-17 Regular,2018-09-17,E. Denise Simmons,Sumbul Siddiqui,Timothy J. Toomey,,Order Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7537&CssClass=,"That the City Manager is requested to work with the Office of the Mayor, representatives of Harvard University, and any other parties that the City Manager deems necessary in order to draft a plan that shall allow the Mayor’s Annual Harvard Senior Luncheon to be held regardless of the weather conditions.",CHARTER RIGHT EXERCISED BY COUNCILLOR TOOMEY
POR 2018 #206,6,2018-09-17 Regular,2018-09-17,E. Denise Simmons,Alanna Mallon,,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7571&CssClass=,That the City Manager is requested to direct the Community Development Department and any other relevant City personnel to establish an Inman Square Business Impact Plan ahead of formally initiating the Inman Square street reconfiguration process.,
POR 2018 #207,7,2018-09-17 Regular,2018-09-17,Craig A. Kelley,Timothy J. Toomey,Timothy J. Toomey,,Order Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7589&CssClass=,"That the City Manager is requested to report back to the City Council on the tax status, zoning history, and sale of The Constellation Center's Parcel C in Kendall Square.",CHARTER RIGHT EXERCISED BY COUNCILLOR TOOMEY
POR 2018 #208,8,2018-09-17 Regular,2018-09-17,Craig A. Kelley,,Timothy J. Toomey,,Order Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7619&CssClass=,"That the City Manager is requested to consult with the Traffic, Parking & Transportation Department and other City departments to consider working with consultants and other available resources to help incorporate data access and management concerns into discussions, permits and licenses for new mobility platforms.",CHARTER RIGHT EXERCISED BY COUNCILLOR TOOMEY
POR 2018 #209,9,2018-09-17 Regular,2018-09-17,Timothy J. Toomey,,Timothy J. Toomey,,Order Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7620&CssClass=,"That the City Manager is requested to instruct the Director of the Traffic, Parking and Transportation Department to provide an explanation for the change in parking regulations which does not allow for property owners to park in front of their own driveways.",CHARTER RIGHT EXERCISED BY COUNCILLOR TOOMEY
POR 2018 #210,10,2018-09-17 Regular,2018-09-17,Craig A. Kelley,,Timothy J. Toomey,,Order Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7621&CssClass=,"That the City Manager is requested to report to the City Council with an explanation of how the City views internet-based platforms as opportunities for outreach and communication and what sort of guidelines have been, or are being, developed to help everyone understand how the City’s various departments do or do not utilize these communication resources and how any communications on these platforms are managed so that the messaging and information is kept up-to-date.",CHARTER RIGHT EXERCISED BY COUNCILLOR TOOMEY
POR 2018 #211,11,2018-09-17 Regular,2018-09-17,Quinton Zondervan,,Timothy J. Toomey,,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7626&CssClass=,"That the City Manager is requested to televise the Neighborhood & Long-Term Planning, Public Facilities, Arts and Celebrations Committee hearing on September 20, 2018.",CHARTER RIGHT EXERCISED BY COUNCILLOR TOOMEY
POR 2018 #212,12,2018-09-17 Regular,2018-09-17,Sumbul Siddiqui,"Alanna Mallon,Quinton Zondervan,Dennis J. Carlone",Timothy J. Toomey,,Order Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7629&CssClass=,That the City Manager is requested to work with the Economic Development Division to regularly update the vacant property database as well as review the strategies presented in the Storefront Vacancies Best Practices Report and report back on the feasibility of implementing these recommendations.,CHARTER RIGHT EXERCISED BY COUNCILLOR TOOMEY
POR 2018 #213,13,2018-09-17 Regular,2018-09-17,Quinton Zondervan,,,,Failed,4-5-0,yes,yes,yes,no,no,no,no,yes,no,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7630&CssClass=,That the City Manager be and hereby is requested to direct the City Solicitor to provide a legal opinion on whether the City Council has the ability to rescind a previous vote.,4-5-0
POR 2018 #214,14,2018-09-17 Regular,2018-09-17,Quinton Zondervan,,,,Withdrawn,unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7631&CssClass=,"That the City Council rescind its vote of July 30, 2018 failing to send the climate safety (Brown, et al) petition to a second reading, thereby taking no action on the petition.",WITHDRAWN WITH UNANIMOUS CONSENT ON MOTION OF COUNCILLOR ZONDERVAN.
POR 2018 #215,15,2018-09-17 Regular,2018-09-17,Quinton Zondervan,,Timothy J. Toomey,,Order Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7633&CssClass=,"That the Neighborhood and Long Term Planning, Public Facilities, Arts and Celebrations Committee conduct a hearing to discuss the increase enforcement of the dog leash ordinance, the possibility of an awareness campaign about the importance of following the law, the possibility of creating an opt-in liability insurance program for dog owners, and an update on staffing levels at the Animal Control Department.",CHARTER RIGHT EXERCISED BY COUNCILLOR TOOMEY
POR 2018 #217,16,2018-09-17 Regular,2018-09-17,Craig A. Kelley,,,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7644&CssClass=,"That the City Manager be and hereby is requested to forward to the City Solicitor for review and to be, included in the proposed Surveillance Ordinance; the proposed amendments submitted by Mayor McGovern, Mr. Stallman, Mr. Green and Councillor Kelley are ATTACHMENTS C, D, F, G-1 and G-2 in the Ordinance Committee Report Number Five and Communications and Reports from City Officers Number Three on the September 17, 2018 Agenda.",
POR 2018 #216,17,2018-09-17 Regular,2018-09-17,Quinton Zondervan,E. Denise Simmons,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7642&CssClass=,That the City Manager is requested to prioritize the revitalization of the Paolillo Tot Lot’s amenities in time for Summer 2019.,
POR 2018 #218,18,2018-09-17 Regular,2018-09-17,Marc C. McGovern,,,,Adopted,7-2-0,yes,yes,yes,yes,yes,yes,no,yes,no,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7645&CssClass=,"That the City Council go on record accepting the provisions of Chapter 174 of the Acts of 2018, the same being “An Act Authorizing the City of Cambridge to Change the Use of Certain Land Acquired for Open Space Recreational Purposes to a Use for Traffic Reconfiguration Purposes.”",7-2-0
POR 2018 #219,1,2018-09-24 Regular,2018-09-24,Jan Devereux,"Marc C. McGovern,Quinton Zondervan",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2259&MediaPosition=&ID=7663&CssClass=,"That the City Council go on record declaring October 5, 2018, as Energy Efficiency Day in Cambridge, in recognition of National Energy Awareness Month, as a means of highlighting the importance of achieving the goals set forth in the Net Zero Action Plan",8 MEMBERS
POR 2018 #220,2,2018-09-24 Regular,2018-09-24,Sumbul Siddiqui,"E. Denise Simmons,Alanna Mallon",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2259&MediaPosition=&ID=7678&CssClass=,That the City Manager is requested to instruct the Executive Director of the Cambridge Human Rights Commission to investigate the potential for the creation and implementation of a survey or other feedback mechanism for individuals who have been in contact with the Human Rights Commission.,8 MEMBERS
POR 2018 #221,3,2018-09-24 Regular,2018-09-24,Quinton Zondervan,"Jan Devereux,Sumbul Siddiqui,Craig A. Kelley",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2259&MediaPosition=&ID=7679&CssClass=,That the City Manager is requested to take all possible immediate actions to preserve and restore Linear Park.,8 MEMBERS
POR 2018 #222,4,2018-09-24 Regular,2018-09-24,Quinton Zondervan,"Sumbul Siddiqui,Dennis J. Carlone",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2259&MediaPosition=&ID=7680&CssClass=,That the City Manager is requested to immediately freeze Feeney Brothers Utility Services from doing any future work in the City of Cambridge until the federal investigation has been completed.,8 MEMBERS
POR 2018 #223,5,2018-09-24 Regular,2018-09-24,Marc C. McGovern,"Jan Devereux,Quinton Zondervan,Sumbul Siddiqui",,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2259&MediaPosition=&ID=7654&CssClass=,City Council support of Freedom for All Massachusetts’ Yes on 3 campaign to uphold the law preventing gender identity based forms of discrimination.,
POR 2018 #224,6,2018-09-24 Regular,2018-09-24,Quinton Zondervan,,,,Failed,4-3-2,no,yes,yes,no,yes,absent,absent,yes,no,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2259&MediaPosition=&ID=7683&CssClass=,That the City Manager be and hereby is requested to report back to the City Council with the cost of implementing a means testing for the resident parking sticker program for those who would receive a reduction in the resident parking sticker fee using existing means testing done by other department for other programs in the City for those who are in financial need.,FAILED OF ADOPTION
POR 2018 #225,1,2018-10-01 Regular,2018-10-01,Jan Devereux,"Alanna Mallon,Dennis J. Carlone",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2260&MediaPosition=&ID=7695&CssClass=,"That the City Manager is requested to work with the Department of Human Service Programs, the Department of Public Works and the Department of Public Health to identify ways to raise awareness about the prevalence of food allergies and decrease the level of risk posed by food remnants left in public parks and playgrounds.",
POR 2018 #226,2,2018-10-01 Regular,2018-10-01,Timothy J. Toomey,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2260&MediaPosition=&ID=7707&CssClass=,"The City Manager is requested to confer with the Director of the Traffic, Parking and Transportation Department  and any other relevant City departments to install a four-way stop sign at the intersection of Sixth and Hurley Streets and to work in conjunction with the newly formed East Cambridge Planning Team Traffic Safety Committee on improving pedestrian and bicycle safety in the East Cambridge area.",
POR 2018 #227,3,2018-10-01 Regular,2018-10-01,Timothy J. Toomey,,,,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2260&MediaPosition=&ID=7710&CssClass=,"That the Government Operations, Rules and Claims Committee schedule a hearing on the proposed “Cambridge Publicly Financed Municipal Election Program” and the “Cambridge Municipal People’s Pledge Program” as soon as possible and report back to the City Council with a plan for implementation no later than the City Council meeting scheduled for November 19, 2018.","REFERRED TO GOVERNMENT OPERATIONS, RULES AND CLAIMS COMMITTEE"
POR 2018 #228,4,2018-10-01 Regular,2018-10-01,Timothy J. Toomey,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2260&MediaPosition=&ID=7711&CssClass=,"That the City Manager is requested to confer with the Director of the Traffic, Parking and Transportation department and any other relevant city departments to study the potential of utilizing the Icelandic crosswalk design in an intersection in East Cambridge.",
POR 2018 #229,5,2018-10-01 Regular,2018-10-01,Marc C. McGovern,"Alanna Mallon,Sumbul Siddiqui",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2260&MediaPosition=&ID=7713&CssClass=,"That the City Manager is requested to work with any relevant City departments and with the various programs and facilities that serve Cambridge’s most vulnerable populations, including at food pantries in the city, to install racks for the purpose of displaying brochures and/or information regarding the various city programs that support vulnerable residents.",
POR 2018 #230,6,2018-10-01 Regular,2018-10-01,E. Denise Simmons,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2260&MediaPosition=&ID=7717&CssClass=,That the City Manager be and hereby is requested to work with the appropriate City personnel to seek a formal response from CVS as it relates to a racial profiling incident.,
POR 2018 #231,7,2018-10-01 Regular,2018-10-01,Dennis J. Carlone,"Jan Devereux,Quinton Zondervan,Sumbul Siddiqui",E. Denise Simmons,,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2260&MediaPosition=&ID=7720&CssClass=,That the Envision Cambridge draft recommendations should be reviewed by the entire City Council in respective committees.,CHARTER RIGHT EXERCISED BY COUNCILLOR SIMMONS ON ORDER AS AMENDED
POR 2018 #232,8,2018-10-01 Regular,2018-10-01,Quinton Zondervan,"Marc C. McGovern,Jan Devereux,Alanna Mallon",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2260&MediaPosition=&ID=7731&CssClass=,Recognition to those who brought the MLK School construction to a successful completion.,
POR 2018 #233,9,2018-10-01 Regular,2018-10-01,Alanna Mallon,"E. Denise Simmons,Jan Devereux,Sumbul Siddiqui",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2260&MediaPosition=&ID=7732&CssClass=,"That the City Council go on record in recognizing October as National Domestic Violence Awareness Month, and support the reauthorization of the Violence Against Women Act.",
POR 2018 #234,10,2018-10-01 Regular,2018-10-01,Jan Devereux,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2260&MediaPosition=&ID=7743&CssClass=,"Traffic, Parking and Transportation Department to provide the City Council with a list of streets where it is recommended that the speed be reduced to 20 MPH",
POR 2018 #236,1,2018-10-15 Regular,2018-10-15,Sumbul Siddiqui,"Marc C. McGovern,Jan Devereux",,,Adopted,5-3-1,yes,yes,yes,yes,yes,absent,no,no,no,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2261&MediaPosition=&ID=7752&CssClass=,That the City Manager confer with the City Solicitor’s Office on the legal question and the feasibility of placing a condition in public bidding documents prohibiting municipal contractors from displaying any signage—other than company markers and contact information—on vehicles.,ROLL CALL ORDER ADOPTED 5-3-1
POR 2018 #237,2,2018-10-15 Regular,2018-10-15,Alanna Mallon,Marc C. McGovern,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2261&MediaPosition=&ID=7775&CssClass=,"That the City Manager is requested to confer with the Cambridge Fire Department, Department of Public Works, Electrical Department, and all other appropriate departments to celebrate National Fallen Firefighters Memorial Weekend in October of 2019 by scheduling a commemoration ceremony and lighting up City Hall and individual firehouses.",
POR 2018 #238,3,2018-10-15 Regular,2018-10-15,Craig A. Kelley,,,,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2261&MediaPosition=&ID=7780&CssClass=,That the City Manager is requested to urge all City employees to participate in National Cyber Security Awareness Month and the training modules with a goal of reaching 100% participation to help enhance the City’s cyber security and keep all employees and constituents safe.,9 MEMBERS
POR 2018 #239,4,2018-10-15 Regular,2018-10-15,Quinton Zondervan,,E. Denise Simmons,,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2261&MediaPosition=&ID=7781&CssClass=,That the Chairs of the Ordinance Committee schedule a hearing on Tree Protections and the Chairs of the Health & Environment Committee schedule public hearings on Tree Protections and the preliminary results from the Ordinance Committee hearing.,EXERCISED BY COUNCILLOR SIMMONS. 
POR 2018 #240,5,2018-10-15 Regular,2018-10-15,Alanna Mallon,"Marc C. McGovern,E. Denise Simmons",,Yes,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2261&MediaPosition=&ID=7789&CssClass=,"That the City Manager is requested to work with the Cambridge Police Department, Cambridge Fire Department, and Office of Budget and Finance to prioritize these Public Safety outreach measures in the FY20 budget.",9 MEMBERS
POR 2018 #241,6,2018-10-15 Regular,2018-10-15,Sumbul Siddiqui,"Alanna Mallon,Dennis J. Carlone,Quinton Zondervan",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2261&MediaPosition=&ID=7793&CssClass=,That the City Manager is requested to confer with the Community Development Department and the City Solicitor to investigate the queries posed by the Economic and University Relations Committee for a City-Based Cannabis Social Equity Program.,9 MEMBERS
POR 2018 #242,7,2018-10-15 Regular,2018-10-15,Marc C. McGovern,,,,Adopted,,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2261&MediaPosition=&ID=7807&CssClass=,The City Manager’s recommendation of Elaine DeRosa to the Cambridge Housing Authority Board,APPOINTMENT CONFIRMED 9-0-0
POR 2018 #243,8,2018-10-15 Regular,2018-10-15,Sumbul Siddiqui,,Jan Devereux,,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2261&MediaPosition=&ID=7808&CssClass=,The City Manager be and hereby is requested to direct the Community Development Department to provide a written timeline of what specific steps must take place in order to take a final vote on the Affordable Housing Overlay legislation,CHARTER RIGHT EXERCISED BY VICE MAYOR DEVEREUX
POR 2018 #244,1,2018-10-29 Regular,2018-10-29,Jan Devereux,"Marc C. McGovern,Sumbul Siddiqui",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2263&MediaPosition=&ID=7810&CssClass=,"Order filing  Home Rule Petition entitled ""An Act Authorizing the City of Cambridge to offer Early Voting in Municipal Elections.",
POR 2018 #245,2,2018-10-29 Regular,2018-10-29,Alanna Mallon,Sumbul Siddiqui,,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2263&MediaPosition=&ID=7824&CssClass=,That the City Manager is requested to  work with the Department of Public Works to section off an area of the Mid-Cambridge Library lawn to dedicate to a dog park.,8 MEMBERS
POR 2018 #246,3,2018-10-29 Regular,2018-10-29,E. Denise Simmons,"Jan Devereux,Marc C. McGovern,Sumbul Siddiqui",,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2263&MediaPosition=&ID=7825&CssClass=,"That the City Manager be and hereby is requested to confer with the appropriate City staff to determine whether unisex bathrooms can be installed in City Hall, or whether existing bathrooms could be modified into unisex bathrooms.",8 MEMBERS
POR 2018 #247,4,2018-10-29 Regular,2018-10-29,Sumbul Siddiqui,Alanna Mallon,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2263&MediaPosition=&ID=7827&CssClass=,"That the City Manager is requested to instruct the Director of 22 CityView to record the Human Services and Veterans Committee hearing on October 30, 2018 in its entirety so that those residents who are interested in the topic but unable to attend the hearing will be able to view the discussion.",8 MEMBERS
POR 2018 #248,5,2018-10-29 Regular,2018-10-29,Marc C. McGovern,"Sumbul Siddiqui,Alanna Mallon,Timothy J. Toomey",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2263&MediaPosition=&ID=7830&CssClass=,"That the City Manager is requested to make the necessary arrangements to have the clock tower bell of City Hall to ring out twenty-one times commencing at 11:00 a.m. on Sunday, November 11, 2018 in honor of Armistice Day.",8 MEMBERS
POR 2018 #249,6,2018-10-29 Regular,2018-10-29,Marc C. McGovern,"Alanna Mallon,Craig A. Kelley",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2263&MediaPosition=&ID=7843&CssClass=,"That the City Council declare that honor and gratitude be bestowed upon the Military Order of The Purple Heart, and further declare the City of Cambridge as a “Purple Heart City” in the Commonwealth of Massachusetts",8 MEMBERS
POR 2018 #250,7,2018-10-29 Regular,2018-10-29,E. Denise Simmons,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2263&MediaPosition=&ID=7858&CssClass=,"That the City Manager is requested to consult with the Cambridge Police Department and the Department of Traffic, Parking, and Transportation to determine how to best address the uptick in TNC-associated vehicles stopping in the middle of streets and bicycle lanes.",8 MEMBERS
POR 2018 #251,8,2018-10-29 Regular,2018-10-29,Jan Devereux,Craig A. Kelley,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2263&MediaPosition=&ID=7865&CssClass=,That the City Manager is requested to direct the appropriate staff to work with DCR and the State Police to determine what measures would best serve to prevent vehicles from blocking the Fresh Pond Mall's driveway onto Alewife Brook Parkway.,8 MEMBERS
POR 2018 #252,9,2018-10-29 Regular,2018-10-29,Craig A. Kelley,"Jan Devereux,Dennis J. Carlone",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2263&MediaPosition=&ID=7866&CssClass=,That the City Manager is requested to provide an update on any current discussions or plans for extending the Alewife Greenway Bike Path from Alewife to Sherman Street.,8 MEMBERS
