Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Vote,Marc C. McGovern,Jan Devereux,Dennis J. Carlone,Alanna Mallon,Sumbul Siddiqui,E. Denise Simmons,Timothy J. Toomey,Quinton Zondervan,Craig A. Kelley,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2018 #205,10,2018-06-18 Regular,2018-06-18,Congratulations,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7265&CssClass=,That the City Council go on record recognizing the publication of Barracoon: The Story of the Last ‘Black Cargo’ and supporting the continued attempts to better understand this country’s complex and sometimes troubling history.,
RES 2018 #206,11,2018-06-18 Regular,2018-06-18,Death Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7269&CssClass=,Resolution on the death of Victoria Jane Lewis.,
RES 2018 #207,12,2018-06-18 Regular,2018-06-18,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7276&CssClass=,Resolution on the death of Nancy Camelio.,
RES 2018 #208,13,2018-06-18 Regular,2018-06-18,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7277&CssClass=,"Resolution on the death of Henry J. ""Hank"" Rosenberger.",
RES 2018 #209,14,2018-06-18 Regular,2018-06-18,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7278&CssClass=,Resolution on the death of Philip Markell.,
RES 2018 #210,15,2018-06-18 Regular,2018-06-18,Congratulations,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7280&CssClass=,That the City Council go on record thanking the organizers and youth participants of Jetpac's Ramadan Knockathon Day of Action for their commitment to civic engagement.,
RES 2018 #211,16,2018-06-18 Regular,2018-06-18,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7288&CssClass=,Retirement of Gary Agnello from the Department of Public Works.,
RES 2018 #212,17,2018-06-18 Regular,2018-06-18,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7289&CssClass=,"Retirement of Virginia ""Ginny"" Kelley from the Election Commission.",
RES 2018 #213,18,2018-06-18 Regular,2018-06-18,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7290&CssClass=,Retirement of Paul Ferola from the Cambridge Public School Department.,
RES 2018 #214,19,2018-06-18 Regular,2018-06-18,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7291&CssClass=,Retirement of Susan Maycock from the Cambridge Historical Commission.,
RES 2018 #215,20,2018-06-18 Regular,2018-06-18,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7295&CssClass=,Resolution on the death of Mary Battle.,
RES 2018 #216,21,2018-06-18 Regular,2018-06-18,Congratulations,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7305&CssClass=,Congratulations to Caitlin Engleson and Sara Engle on the birth of Penelope.,
RES 2018 #217,22,2018-06-18 Regular,2018-06-18,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7296&CssClass=,Resolution on the death of Jacqueline (Jackie) Straker,
RES 2018 #218,1,2018-06-25 Regular,2018-06-25,Retirement Resolution,Jan Devereux,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7306&CssClass=,Retirement of Lesley University President Jeff A. Weiss.,
RES 2018 #219,2,2018-06-25 Regular,2018-06-25,Death Resolution,Jan Devereux,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7307&CssClass=,Resolution on the death of Patrick Tedesco.,
RES 2018 #220,3,2018-06-25 Regular,2018-06-25,Congratulations,Jan Devereux,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7308&CssClass=,"Congratulations to Cambridge Naturals for being featured in Forbes Magazine as a “Small Giant,” one of the best small businesses of 2018 that has chosen greatness over growth.",
RES 2018 #221,4,2018-06-25 Regular,2018-06-25,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7335&CssClass=,Resolution on the death of Gilberta M. Almas.,
RES 2018 #222,5,2018-06-25 Regular,2018-06-25,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7337&CssClass=,"Resolution on the death of Catherine ""Kay"" Carbone.",
RES 2018 #223,6,2018-06-25 Regular,2018-06-25,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7344&CssClass=,Congratulations to Cambridge Community Television for 30 years of exemplary programming and community engagement and wishing them many years of success to come.,
RES 2018 #224,7,2018-06-25 Regular,2018-06-25,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7345&CssClass=,Retirement of Donald Bombino from the Cambridge Police Department.,
RES 2018 #225,8,2018-06-25 Regular,2018-06-25,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7346&CssClass=,Retirement of John Fulkerson from the Cambridge Police Department.,
RES 2018 #226,9,2018-06-25 Regular,2018-06-25,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7347&CssClass=,Retirement of John Gardner from the Cambridge Police Department.,
RES 2018 #227,10,2018-06-25 Regular,2018-06-25,Congratulations,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7351&CssClass=,Congratulations to Amanda Montoya on her service to Harvard University and the Cambridge community.,
RES 2018 #228,11,2018-06-25 Regular,2018-06-25,Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7357&CssClass=,"That the City Council go on record wishing Kate Joyce a swift and complete recovery, and a speedy return to City Hall.",
RES 2018 #229,12,2018-06-25 Regular,2018-06-25,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7364&CssClass=,Resolution on the death of Alfred Martins Sr.,
RES 2018 #230,13,2018-06-25 Regular,2018-06-25,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7363&CssClass=,"Resolution on the death of Manuel ""Manny"" Paiva.",
RES 2018 #231,1,2018-07-30 Regular,2018-07-30,Retirement Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7398&CssClass=,Congratulations to Gail Packer on her 30 year anniversary as the Executive Director of the Community Dispute Settlement Center.,
RES 2018 #232,2,2018-07-30 Regular,2018-07-30,Congratulations,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7401&CssClass=,"Thanks to Café Luna Catering, Chhabra Bridal Wear, Griffin Properties, Inc., Season To Taste Catering, Spindler Confections, and North Cambridge Family Opera for their extraordinary generosity and commitment to the community in supporting Project Bread’s 50th Anniversary Walk for Hunger.",
RES 2018 #233,3,2018-07-30 Regular,2018-07-30,Congratulations,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7402&CssClass=,"That the City Council go on record expressing its thanks to Boston Frame Works, East Cambridge Savings Bank, Elite Barber Shop, North Cambridge Co-operative Bank, and Quingdao Garden for their extraordinary generosity and commitment to the community in supporting Project Bread’s Walk for Hunger for ten consecutive years.",
RES 2018 #234,4,2018-07-30 Regular,2018-07-30,Congratulations,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7403&CssClass=,"Congratulations to Bruce Irving, Rosemary Previte, Luise Erdmann, Graciela Galup, and the entire volunteer staff of The Cambridge Historian on receiving a first place win from the New England Museum Association’s Publication Awards.",
RES 2018 #235,5,2018-07-30 Regular,2018-07-30,Congratulations,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7410&CssClass=,Congratulations to Matt Katz-Christy and Thomas Craciun for their first place victory in the race for the William I. Koch International Sea Scout Cup.,
RES 2018 #236,6,2018-07-30 Regular,2018-07-30,Congratulations,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7411&CssClass=,"Congratulations to the Cambridge Arts Council, the main organizers of the Cambridge Arts River Festival, on both a successful event as well as their “Best of Boston” title for Best Arts Festival in 2018.",
RES 2018 #237,7,2018-07-30 Regular,2018-07-30,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7418&CssClass=,Retirement of Ellen Shachter from the Cambridge and Somerville Legal Services.,
RES 2018 #238,8,2018-07-30 Regular,2018-07-30,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7436&CssClass=,"Resolution on the death of James T. Benson, Jr.",
RES 2018 #239,9,2018-07-30 Regular,2018-07-30,Congratulations,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7441&CssClass=,Happy 90th Birthday wishes to Charles Webb.,
RES 2018 #240,10,2018-07-30 Regular,2018-07-30,Death Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7444&CssClass=,Resolution on the death of Daniel F. Crowley.,
RES 2018 #241,11,2018-07-30 Regular,2018-07-30,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7445&CssClass=,Resolution on the death of Dorothy C. Vetrano.,
RES 2018 #242,12,2018-07-30 Regular,2018-07-30,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7455&CssClass=,Resolution on the death of Earnet J. Moore.,
RES 2018 #243,13,2018-07-30 Regular,2018-07-30,Congratulations,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7464&CssClass=,Congratulations to Jesse Kanson-Benanav and Rachel Weidenfeld.,
RES 2018 #244,14,2018-07-30 Regular,2018-07-30,Congratulations,Jan Devereux,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7466&CssClass=,Thanks to Nora Bent for her dedication and service to the City of Cambridge and best wishes in her future professional endeavors.,
RES 2018 #245,15,2018-07-30 Regular,2018-07-30,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7462&CssClass=,Resolution on the death of Weymouth Police Officer Michael Chesna.,
RES 2018 #246,16,2018-07-30 Regular,2018-07-30,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7465&CssClass=,Resolution on the death of Vera Adams.,
RES 2018 #247,17,2018-07-30 Regular,2018-07-30,Congratulations,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7467&CssClass=,Congratulations to the Cambridge Girls' Synchronized Swimming Team on their silver medal at the National Junior Olympics.,
RES 2018 #248,18,2018-07-30 Regular,2018-07-30,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7469&CssClass=,Resolution on the death of George Teso.,
RES 2018 #249,19,2018-07-30 Regular,2018-07-30,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7473&CssClass=,Resolution on the death of Richelle Robinson.,
RES 2018 #250,20,2018-07-30 Regular,2018-07-30,Retirement Resolution,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7475&CssClass=,Retirement of Reverend Holly Lyman Antolini.,
RES 2018 #251,21,2018-07-30 Regular,2018-07-30,Retirement Resolution,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7476&CssClass=,Congratulations to Dana Jay Bein on his creative talents and artistic gifts to the community.,
RES 2018 #252,22,2018-07-30 Regular,2018-07-30,Congratulations,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7488&CssClass=,Commending Boston Police Commissioner William B. Evans for his service.,
RES 2018 #253,23,2018-07-30 Regular,2018-07-30,Congratulations,Quinton Zondervan,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7491&CssClass=,Congratulations to Julie Roach on her appointment as Chair of the 2020 Caldecott Medal Selection Committee.,
RES 2018 #254,24,2018-07-30 Regular,2018-07-30,Congratulations,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7492&CssClass=,Congratulations to William G. Gross on the occasion of being named Commissioner of the Boston Police Department.,
RES 2018 #255,25,2018-07-30 Regular,2018-07-30,Congratulations,Quinton Zondervan,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7493&CssClass=,MLK School achieves LEED Platinum,
RES 2018 #256,26,2018-07-30 Regular,2018-07-30,Congratulations,Quinton Zondervan,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7495&CssClass=,Congratulations to Cambridge Camping on the occasion of its 125th anniversary.,
RES 2018 #257,27,2018-07-30 Regular,2018-07-30,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7497&CssClass=,Retirement of Brenda Gilchrist from the Emergency Communications Department.,
RES 2018 #258,28,2018-07-30 Regular,2018-07-30,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7498&CssClass=,Retirement of Ronald Richard from the Emergency Communications Department.,
RES 2018 #259,29,2018-07-30 Regular,2018-07-30,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7502&CssClass=,Retirement of Lieutenant Thomas Carroll from the Cambridge Fire Department.,
RES 2018 #260,30,2018-07-30 Regular,2018-07-30,Congratulations,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7503&CssClass=,"Congratulations to the Sancta Maria Nursing Facility on the occasion of its Seventieth Anniversary of caring for Cambridge residents, and its Fiftieth Anniversary of serving at its current location.",
RES 2018 #261,31,2018-07-30 Regular,2018-07-30,Congratulations,Alanna Mallon,Withdrawn,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7506&CssClass=,City Council support of the SEIU 32BJ Chapter and its District 615 members in their fight to access affordable healthcare and fair wage increases.,
RES 2018 #262,32,2018-07-30 Regular,2018-07-30,Happy Birthday Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7509&CssClass=,Happy Birthday wishes to Jean Bracken.,
RES 2018 #263,1,2018-09-17 Regular,2018-09-17,Congratulations,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7399&CssClass=,"Thanks to Keisha Greaves for her incredible role and contribution to the Cambridge community and City Council support of the 4th Annual Limb Girdle Muscular Dystrophy Awareness Day on September 30, 2018.",
RES 2018 #264,2,2018-09-17 Regular,2018-09-17,Congratulations,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7529&CssClass=,Congratulations to Maura Pensak and Nancy Alach on their recent marriage.,
RES 2018 #265,3,2018-09-17 Regular,2018-09-17,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7531&CssClass=,Resolution on the death of Frances (DeGuglielmo) Tingle.,
RES 2018 #266,4,2018-09-17 Regular,2018-09-17,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7533&CssClass=,Resolution on the death of Leroy Paul Dotten.,
RES 2018 #267,5,2018-09-17 Regular,2018-09-17,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7539&CssClass=,Resolution on the death of John O'Leary Sr.,
RES 2018 #268,6,2018-09-17 Regular,2018-09-17,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7541&CssClass=,Retirement of Attorney David Sullivan from the Massachusetts State Senate.,
RES 2018 #269,7,2018-09-17 Regular,2018-09-17,Congratulations,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7543&CssClass=,Congratulations to Manikka Bowman for being recognized as one of Boston Business Journal’s “40 Under 40” honorees.,
RES 2018 #270,8,2018-09-17 Regular,2018-09-17,Congratulations,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7544&CssClass=,Congratulations to YWCA Outstanding Women of 2018.,
RES 2018 #271,9,2018-09-17 Regular,2018-09-17,Retirement Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7553&CssClass=,Congratulations to Elaine Schear on her retirement from the Friends of CRLS.,
RES 2018 #272,10,2018-09-17 Regular,2018-09-17,Congratulations,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7554&CssClass=,"Congratulations to Ayanna Pressley for her historic victory in the September 4, 2018 primary for the 7th Congressional District.",
RES 2018 #273,11,2018-09-17 Regular,2018-09-17,Congratulations,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7555&CssClass=,Thanks and appreciation to Congressman Michael E. Capuano for his many years of service to the Cambridge community.,
RES 2018 #274,12,2018-09-17 Regular,2018-09-17,Congratulations,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7557&CssClass=,Congratulating the Cambridge Public Health Department on achieving national accreditation through the national nonprofit Public Health Accreditation Board.,
RES 2018 #275,13,2018-09-17 Regular,2018-09-17,Congratulations,Craig A. Kelley,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7562&CssClass=,Happy 70th Wedding Anniversary wishes to Stephanie and William Courier.,
RES 2018 #276,14,2018-09-17 Regular,2018-09-17,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7572&CssClass=,Resolution on the death of Romelia Gallardo.,
RES 2018 #277,15,2018-09-17 Regular,2018-09-17,Congratulations,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7591&CssClass=,Congratulations to Jimmy Tingle on his well-run campaign for Lieutenant Governor.,
RES 2018 #278,16,2018-09-17 Regular,2018-09-17,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7601&CssClass=,"Resolution on the death of John ""Harry"" Connarton.",
RES 2018 #279,17,2018-09-17 Regular,2018-09-17,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7602&CssClass=,Resolution on the death of Karl Shuman.,
RES 2018 #280,18,2018-09-17 Regular,2018-09-17,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7542&CssClass=,Resolution on the death of Joan Allen.,
RES 2018 #281,19,2018-09-17 Regular,2018-09-17,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7603&CssClass=,Congratulations to Spaulding Rehabilitation Hospital on the occasion of being recognized as one of the top rehabilitation hospitals in the country by U.S. News and World Report America’s “Best Hospital Rankings.”,
RES 2018 #282,20,2018-09-17 Regular,2018-09-17,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7616&CssClass=,"Resolution on the death of Olga ""Pat"" Divecchia.",
