Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Marc C. McGovern,Jan Devereux,Dennis J. Carlone,Alanna Mallon,Sumbul Siddiqui,E. Denise Simmons,Timothy J. Toomey,Quinton Zondervan,Craig A. Kelley,Yeas,Nays,Present,Absent,Recused,Link,Notes,Summary
CMA 2018 #114,2018-05-21 Regular,2018-05-21,1,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2142&MediaPosition=&ID=7062&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the final three months of the Family Shelter grant received from the Department of Housing and Community Development (DHCD) in the amount of $150,351.88 to the Grant Fund Human Service Programs Other Ordinary Maintenance account which will be used to subcontract with the Cambridge YWCA."
CMA 2018 #115,2018-05-21 Regular,2018-05-21,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2142&MediaPosition=&ID=7063&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $44,000 from Free Cash to the Public Investment Executive Department Extraordinary Expenditures which will be used to assist the Department of Conservation & Recreation in constructing an ADA accessible canoe and kayak boat launch."
CMA 2018 #116,2018-05-21 Regular,2018-05-21,3,Awaiting Report Response,,POR 2018 #33,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2142&MediaPosition=&ID=7064&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 18-17, regarding the status and proposed next steps to advance the urban agriculture initiative."
CMA 2018 #117,2018-05-21 Regular,2018-05-21,4,Transmitting Communication,,,Quinton Zondervan,Order Adopted,6-3-0,yes,yes,yes,yes,yes,no,no,yes,no,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2142&MediaPosition=&ID=7065&CssClass=,EXERCISED BY COUNCILLOR ZONDERVAN,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a request for approval to submit the attached Home Rule Petition that would authorize the City of Cambridge to include as part of the Inman Square Intersection Safety Improvements Project (“Project”) the planned reconfiguration of the intersection of Hampshire Street and Cambridge Street in the Inman Square area of the City (hereinafter, “Inman Square”) as well as a portion of the land that makes up Mayor Alfred E. Vellucci Community Plaza (“Vellucci Plaza”)."
CMA 2018 #118,2018-05-21 Regular,2018-05-21,5,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2142&MediaPosition=&ID=7066&CssClass=,9-0-0,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a request for approval to seek authorization from the Massachusetts Office of the Inspector General (the “IG”) for the City to use the Construction Manager at Rick (“CMAR”) procurement and construction method (the CMAR Method”) in connection with the redevelopment of the Foundry building."
CMA 2018 #119,2018-05-21 Regular,2018-05-21,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2142&MediaPosition=&ID=7085&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $20,000 from Free Cash to the General Fund Public Celebrations Other Ordinary Maintenance account, to be used to help support the annual Cambridge Arts River Festival, specifically in the areas of sound reinforcement and stage and tenting rentals."
CMA 2018 #120,2018-06-04 Regular,2018-06-04,1,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2148&MediaPosition=&ID=7137&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to an order authorizing the City Manager for transfer appropriations of available balances prior to the close of the books for FY17-18."
CMA 2018 #121,2018-06-04 Regular,2018-06-04,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2148&MediaPosition=&ID=7146&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the transfer of $605,160 in the General Fund between School Department statutory accounts as follows:  $572,348 from the Salary and Wages account and $32,812 from Travel & Training Account to the School Other Ordinary Maintenance account $604,430 and $730 to the Extraordinary Expenses Account.  The reallocations are for school improvement and professional development plans for all schools."
CMA 2018 #122,2018-06-04 Regular,2018-06-04,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2148&MediaPosition=&ID=7138&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $125,000  in mitigation funds received from the Novartis’ Special District 15 building project (Ordinance #1338) to the Grant Fund Community Development Other Ordinary Maintenance Account.  The funds will be offered through the City’s HomeBridge program pilot for homebuyers who are not eligible for CPA funds offered through HomeBridge."
CMA 2018 #123,2018-06-04 Regular,2018-06-04,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2148&MediaPosition=&ID=7139&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $134,835 in mitigation funds received from the Forest City’s 300 Massachusetts Avenue building project (Ordinance #1354) to the Grant Fund Community Development Other Ordinary Maintenance Account to fund the HomeBridge program."
CMA 2018 #124,2018-06-04 Regular,2018-06-04,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2148&MediaPosition=&ID=7140&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $619,000 from Free Cash to the Public Investment Fund Emergency Communications Extraordinary Expenditures account which will fund the replacement of approximately twenty (20) two-way portable radios and eighty two (82) mobile radios for Critical Infrastructure to support the radio system for Public Safety."
CMA 2018 #125,2018-06-04 Regular,2018-06-04,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2148&MediaPosition=&ID=7141&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $575,000 from Free Cash to the Public Investment Fund Fire Extraordinary Expenditures account which will fund the replacement of a 1999 Pierce Pumper Fire Truck."
CMA 2018 #126,2018-06-04 Regular,2018-06-04,7,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2148&MediaPosition=&ID=7142&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $500,000 in Free Cash to the Public Investment Fund Human Services Extraordinary Expenditures account for the purpose of renovating the basement space at 51 Inman Street for the Center for Families and Baby U staff."
CMA 2018 #127,2018-06-04 Regular,2018-06-04,8,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2148&MediaPosition=&ID=7143&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the reappointment of the following person as a member of the Family Policy Council for a term of three years, effective June 1, 2018:  Neal Michaels"
CMA 2018 #128,2018-06-04 Regular,2018-06-04,9,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2148&MediaPosition=&ID=7145&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the new appointments and reappointments of the following persons as a members of the Council on Aging Board effective June 1, 2018.  New appointments:  JoAnn Haas, Beverly Sealey and Edna Joy Stamp.  Reappointments:  Mary Ann Dalton, Lily Owyang, Jennifer Chisholm and Officer Daniel Burroso."
CMA 2018 #129,2018-06-04 Regular,2018-06-04,10,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2148&MediaPosition=&ID=7144&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to new appointments and reappointments of the following persons as a members of the Board of Trustees of the Cambridge Health Alliance effective July 1, 2018.  New Appointments:  Brian Burke, Dennis Benzan and Alexander White, MD.  Reappointments:   Marian Darlington-Hope, Madge Kaplan, Mark Puleo, Katharine Kosinski, MD, and Joshua Posner."
CMA 2018 #130,2018-06-04 Regular,2018-06-04,11,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2148&MediaPosition=&ID=7148&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  $370,300.73 from the Community Development Block Grant (CDBG) Grant program income to the Public Investment Fund Extraordinary Expenditures Account which will be used to increase funds available to continue the development of affordable housing for residents."
CMA 2018 #131,2018-06-18 Regular,2018-06-18,1,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7152&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the transfer of  $3,800 from the General Fund Reserve Other Ordinary Maintenance account to the General Fund Veterans’ Services Other Ordinary Maintenance account to cover additional costs associated with the 2018 Memorial Day ceremony."
CMA 2018 #132,2018-06-18 Regular,2018-06-18,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7153&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the transfer of $18,000 from the General Fund Employee Benefits Salary and Wages account (Insurance) to the General Fund Veterans’ Services Travel and Training account (Judgments and Damages) to cover additional veterans’ benefits and medical costs."
CMA 2018 #133,2018-06-18 Regular,2018-06-18,3,Awaiting Report Response,,POR 2018 #132,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7154&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 18-52, regarding a report on enforcement the speed limit on Windsor Street."
CMA 2018 #134,2018-06-18 Regular,2018-06-18,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7229&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the FY18 STEP Grant for $12,861.08 received from the Executive Office of Public Safety and Security Highway Safety Division to the Grant Fund Police Department Salary and Wages account ($12,861.08) which will be used to supplement sustained, high visibility, year-round traffic enforcement."
CMA 2018 #135,2018-06-18 Regular,2018-06-18,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7230&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the transfer of funds in the amount of $50,000.00 in the General Fund from the Electrical Department Other Ordinance Maintenance Account to the Electrical Department Travel and Training account (Judgement and Damages) to cover cost associated with an employee settlement agreement."
CMA 2018 #136,2018-06-18 Regular,2018-06-18,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7231&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $50,000 from Free Cash to the Public Investment Fund Public Works Extraordinary Expenditures account for expenses associated with the introduction of commercial recycling expected in FY19."
CMA 2018 #137,2018-06-18 Regular,2018-06-18,7,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7232&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a $1,000 donation to the Grant Fund Public Works Department Other Ordinary Maintenance account to be used for costs associated with the Carl Baron Award ceremonies held quarterly at DPW."
CMA 2018 #138,2018-06-18 Regular,2018-06-18,8,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7233&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a grant from the U. S. Department of Housing and Urban Development (HUD) through the HOME Program for $665,070 to the Public Investment Fund Community Development Extraordinary Expenditures account for $630,070, and to the Grant Fund Community Development Salary & Wages Account for $35,000 for program administration and will be used for activities that may include acquisition, moderate rehabilitation, substantial rehabilitation and new construction of housing units for low- and moderate- income families and individuals; and for the administration of the HOME program"
CMA 2018 #139,2018-06-18 Regular,2018-06-18,9,Awaiting Report Response,,POR 2017 #280,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7234&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number  17-110, regarding a report on the status of the implementation of the EnerGov permitting software."
CMA 2018 #140,2018-06-18 Regular,2018-06-18,10,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7235&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following person as a member of the Women's Commission for a term of 3-year term effective June 18, 2018:"
CMA 2018 #141,2018-06-18 Regular,2018-06-18,11,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7239&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  $103,517.00 to the Grant Fund Human Service Programs Salary and Wages account ($3,848.00), and to the Other Ordinary Maintenance account ($99,669.00) from the U.S. Department of Housing and Urban Development (HUD) under the HEARTH Act of 2009 which will be used to provide rental assistance and supportive services for 5 chronically homeless men who reside at the YMCA."
CMA 2018 #142,2018-06-18 Regular,2018-06-18,12,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7240&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Summer Food Program grant funded by the U.S. Department of Agriculture through the Massachusetts Department of Education for $249,513.00 to the Grant Fund Human Service Programs Salary and Wages ($20,000.00) and to the Other Ordinary Maintenance account ($229,513.00) which will be used to provide nutritious meals to Cambridge youth at 21 sites throughout the City during the summer months when schools are closed."
CMA 2018 #143,2018-06-18 Regular,2018-06-18,13,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7241&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of donations to the M.L. King Preschool in the amount of $979.75 to Grant Fund Human Service Programs Other Ordinary Maintenance account which will be utilized to support classroom activities and purchases for the M.L. King Preschool."
CMA 2018 #144,2018-06-18 Regular,2018-06-18,14,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7242&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the transfer of funds of the DHCD Fuel Assistance Grant in the amount of $7,000.00 from the Grant Fund Human Service Programs Other Ordinary Maintenance account in the amount of ($4,500.00) to the Grant Fund Human Service Programs Salary and Wage account and ($2,500.00) to the Grant Fund Human Service Programs Travel and Training account which will be used to facilitate staff attendance at the annual LIHEAP state training and pay for a portion of staff costs for the Fuel Assistance Program."
CMA 2018 #145,2018-06-18 Regular,2018-06-18,15,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7243&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Cambridge Food Pantry grant received from the Cambridge Health Alliance for $15,000.00 to the Grant Fund Human Services Other Ordinary Maintenance account which will be used to support the Cambridge Food Pantry Network."
CMA 2018 #146,2018-06-18 Regular,2018-06-18,16,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7244&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Shannon Grant received from the Metropolitan Mayors Coalition/Shannon Community Safety Initiative through the Executive Office of Public Safety for $10,860.80 to the Grant Fund Human Service Programs Salary and Wages account ($10,360.80) and to the Other Ordinary Maintenance account ($500.00) which will be used to support the design and implementation of the City Peace program, a violence prevention peer leadership internship for teens through the Youth Centers."
CMA 2018 #147,2018-06-18 Regular,2018-06-18,17,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7245&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $8,615.00 for the Center for Families program funded by the Cambridge Public Health Commission, Agenda for Children Literacy Initiative to the Department of Human Service Programs Other Ordinary Maintenance account which  will be used by the Center for Families to provide Community Playgroups, Drop-In Playgroups, Provider Groups and support of Family Fun Day."
CMA 2018 #148,2018-06-18 Regular,2018-06-18,18,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7246&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  a donation from MASSCAP, Inc. to the Fuel Assistance Program in the amount of $375.00 to Grant Fund Human Service Programs Other Ordinary Maintenance account which will be utilized utilized to provide an oil delivery for a fuel assistance client in need."
CMA 2018 #149,2018-06-18 Regular,2018-06-18,19,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7247&CssClass=,90-0-,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of funds for the College Success Program (CSI) from the Cambridge Community Foundation for $15,000.00 to the Grant Fund Human Service Department Programs Salary and Wages account which will be used to support part of the salary costs associated with a college success coach who will provide individualized college coaching for students attending UMass Boston and for graduates of the Community Learning Center’s Bridge to College program and YouthBuild’s program who attend Bunker Hill Community College."
CMA 2018 #150,2018-06-18 Regular,2018-06-18,20,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7248&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  user reimbursements received from Cambridge Homeless Service Provider Agencies to support the Cambridge Homeless Management Information System in the amount of $1,485.00 to the Grant Fund Human Service Programs Other Ordinary Maintenance account ($1,485.00) which will be used to support associated program costs of the Cambridge Homeless Management Information System."
CMA 2018 #151,2018-06-18 Regular,2018-06-18,21,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7249&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of Cambridge Individuals with Special Needs donations for $22,021.00 to the Grant Fund Human Service Programs Department Other Ordinary Maintenance account which will be used to support Cambridge athletes participating in Special Olympics."
CMA 2018 #152,2018-06-18 Regular,2018-06-18,22,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7250&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of various donations to the Council on Aging in the amount of $30,398.48 to the Grant Fund Human Service Programs Salary and Wages account ($10,000.00) and to the Other Ordinary Maintenance account ($20,398.48) which will be used to support a variety of services for Cambridge Seniors, including food and entertainment for senior parties, the purchase of fans for low-income seniors, provision of minor home adaptation equipment, support for the food pantry, and transportation for special senior center events and trips."
CMA 2018 #153,2018-06-18 Regular,2018-06-18,23,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7251&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Emergency Solutions Grant (ESG) from the Office of the U.S. Department of Housing and Urban Development (HUD) in the amount of $220,976.00 to the Grant Fund Human Services Salary and Wages account ($16,573.00) and to the Grant Fund Human Services Other Ordinary Maintenance account ($204,403.00) which will be used for shelter operating costs, providing essential services to homeless persons outside of the shelter setting, rapid re-housing and homelessness prevention case management, and financial assistance needed to gain or retain permanent housing."
CMA 2018 #154,2018-06-18 Regular,2018-06-18,24,Awaiting Report Response,,POR 2018 #93,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7252&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 18-39, regarding a report on the DeGuglielmo plaque in Harvard Square."
CMA 2018 #155,2018-06-18 Regular,2018-06-18,25,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7253&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to new appointments of the following persons as a members of the Climate Protection Action Committee for a term of three years, effective June 18, 2018:  Fred Hewett, Rachel Jacobson, Trisha Montalbo, Steven Nutter, Jerrad Pierce, Michael Sojka, Nathalie Wallace, Susan Weber & Julie Wormser"
CMA 2018 #156,2018-06-18 Regular,2018-06-18,26,Awaiting Report Response,,POR 2018 #108,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7261&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 18-43, regarding a report on the necessary improvements to the Harvard Square Station tunnels while they are being renovated."
CMA 2018 #157,2018-06-18 Regular,2018-06-18,27,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2150&MediaPosition=&ID=7264&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the transfer of $425,000 from the School Department General Fund, Other Ordinary Maintenance account to the Public Investment Fund, Extraordinary Expenditures account which will be used to update wireless infrastructure in school buildings ($125,000) and to support school facilities repair and maintenance projects ($300,000)."
CMA 2018 #158,2018-06-25 Regular,2018-06-25,1,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7312&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the transfer of $15,000 from the General Fund Personnel Department Other Ordinary Expenses (Professional and Technical Services) to the General Fund Personnel Department Travel and Training account (Judgments and Damages) to cover additional workers compensation utilization review case review s based on current and anticipated costs for the remainder of the fiscal year."
CMA 2018 #159,2018-06-25 Regular,2018-06-25,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7313&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the transfer of $22,000.00 from the Water Fund Salary and Wages account to the Water Fund Travel and Training Judgements Account to cover the costs related to an employee workers compensation settlement."
CMA 2018 #160,2018-06-25 Regular,2018-06-25,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7315&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $2,000,000 from Free Cash to the Public Investment Fire Department Extraordinary Expenditures to provide funds for repairs at multiple firehouses as an initial step at improving the working and living conditions within the fire stations of the City."
CMA 2018 #161,2018-06-25 Regular,2018-06-25,4,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7333&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following person as a member of the Open Data Review Board for a term of 2 years, effective June 25, 2018:  New Appointment:  Matt Zagaja.  Reappointments:  Eric Belford, Cliff Cook, Lee Gianetti, Christina Giacobbe, Cathy Chute, Anthony Vanky and Jake Wasserman."
