Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Link,Description,Notes
RES 2022 #153,9,06/27/22 Regular,06/27/22,Congratulations,Adopted as Amended,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16542&CssClass=,Congratulations and thank you to Reverend Adam Lawrence Dyer as he leaves his position of Lead Minister at The First Parish in Cambridge.,
RES 2022 #154,10,06/27/22 Regular,06/27/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16544&CssClass=,Congratulations to Deborah Avant on her retirement from the position of Cambridge Youth Soccer Registrar.,
RES 2022 #155,11,06/27/22 Regular,06/27/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16547&CssClass=,Congratulations to James P. Maloney on the occasion of his retirement from the position of Chief Operating Officer of the Cambridge Public Schools.,
RES 2022 #156,12,06/27/22 Regular,06/27/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16554&CssClass=,"That the City Council go on record congratulating Fatimah Asghar on her accomplishments as a writer, poet, and screenwriter.",
RES 2022 #157,13,06/27/22 Regular,06/27/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16556&CssClass=,"Congratulations to Liz Walker and Matt Coogan on the birth of their daughter, Margot Walker Coogan.",
RES 2022 #158,14,06/27/22 Regular,06/27/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16557&CssClass=,Congratulations to Arthur Goldberg on his retirement from the position of Deputy City Solicitor for the City of Cambridge.,
RES 2022 #159,15,06/27/22 Regular,06/27/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16564&CssClass=,Congratulations to James Monagle on his retirement from the position of City Auditor for the City of Cambridge.,
RES 2022 #160,1,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16045&CssClass=,Congratulations on the retirement of Sarah Drewicz from the Cambridge Police Department.,
RES 2022 #161,2,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16047&CssClass=,Congratulations on the retirement of Deputy Chief Patrick Haggerty from the Cambridge Fire Department.,
RES 2022 #162,3,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16048&CssClass=,Congratulations on the retirement of Lieutenant Antonio Ayala from the Cambridge Police Department.,
RES 2022 #163,4,08/01/22 Special,08/01/22,Congratulations,Adopted as Amended,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16568&CssClass=,Congratulations on the retirement of Joseph Pagliaro as Head Golf Coach of CRLS.,
RES 2022 #164,5,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16569&CssClass=,Congratulations on the retirement of Richard Moschner from Emergency Communications.,
RES 2022 #165,6,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16570&CssClass=,Congratulations on the retirement of Mary Shinkwin from CRLS.,
RES 2022 #166,7,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16586&CssClass=,"Congratulations to Maria Rondeau, JuanMa Calderón, and La Royal on being named 2022 Best of Boston Best New Restaurant.",
RES 2022 #167,8,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16588&CssClass=,Congratulations on the retirement of Linda Prosnitz from the Community Development Department.,
RES 2022 #168,9,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16589&CssClass=,Congratulations on the retirement of Lolita Roland from the Cambridge Health Alliance.,
RES 2022 #169,10,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16590&CssClass=,Congratulations on the retirement of Jose Silva from the Water Department.,
RES 2022 #170,11,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16591&CssClass=,Congratulations on the retirement of Karen Cooke from the Cambridge Health Alliance.,
RES 2022 #171,12,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16592&CssClass=,Congratulations on the retirement of Linda Costa from the Cambridge Public Schools.,
RES 2022 #172,13,08/01/22 Special,08/01/22,Congratulations,Adopted as Amended,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16593&CssClass=,Congratulations on the Retirement of Cheryl DePasquale from the Cambridge Public Schools.,
RES 2022 #173,14,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16595&CssClass=,Congratulations on the retirement of William Hansis from the Cambridge Public Schools.,
RES 2022 #174,15,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16596&CssClass=,Congratulations on the retirement of Stephen Hardy from the Water Department.,
RES 2022 #175,16,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16597&CssClass=,Congratulations on the retirement of Joanne Johnson.,
RES 2022 #176,17,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16598&CssClass=,Congratulations on the retirement of Yanny Kavanagh from the Cambridge Health Alliance.,
RES 2022 #177,18,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16599&CssClass=,Congratulations on the retirement of Maria Cabral from the Cambridge Health Alliance.,
RES 2022 #178,19,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16602&CssClass=,Congratulations on the retirement of Evelyn Garcia from the Cambridge Health Alliance.,
RES 2022 #179,20,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16603&CssClass=,Congratulations on the retirement of Gene Gnerre from the Department of Public Works.,
RES 2022 #180,21,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16604&CssClass=,Congratulations on the retirement of Yanick Lubin from the Cambridge Health Alliance.,
RES 2022 #181,22,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16607&CssClass=,Congratulations on the retirement of Lester Starr from the City Manager's Office.,
RES 2022 #182,23,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16608&CssClass=,Congratulations on the retirement of Patricia Lewis from the Cambridge Health Alliance.,
RES 2022 #183,24,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16609&CssClass=,Congratulations to Coach Lance Dottin on being inducted into the Massachusetts Basketball Coaches Association Hall of Fame.,
RES 2022 #184,25,08/01/22 Special,08/01/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16610&CssClass=,Resolution on the death of James P. Rita.,
RES 2022 #185,26,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16611&CssClass=,Congratulations to Maya Reddi Lownie on the completion of her dance Arangetram.,
RES 2022 #186,27,08/01/22 Special,08/01/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16614&CssClass=,"Resolution on the death of Mary E. ""Mickey"" (Garten) Greene.",
RES 2022 #187,28,08/01/22 Special,08/01/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16615&CssClass=,Resolution on the death of Phyllis Glendora Brathwaite.,
RES 2022 #188,29,08/01/22 Special,08/01/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16616&CssClass=,Resolution on the death of Paul B. Courtney.,
RES 2022 #189,30,08/01/22 Special,08/01/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16617&CssClass=,Resolution on the death of Jean L. Toomey.,
RES 2022 #190,31,08/01/22 Special,08/01/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16621&CssClass=,Resolution on the death of Mary Galgay.,
RES 2022 #191,32,08/01/22 Special,08/01/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16622&CssClass=,Resolution on the death Ronald F. Mason.,
RES 2022 #192,33,08/01/22 Special,08/01/22,Death Resolution,Adopted as Amended,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16625&CssClass=,Resolution on the death of Carole R. Chaet.,
RES 2022 #193,34,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16628&CssClass=,Happy 46th Anniversary to Robert and Sandra Murrell.,
RES 2022 #194,35,08/01/22 Special,08/01/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16644&CssClass=,Resolution on the death of Frances C. Ciccolo.,
RES 2022 #195,36,08/01/22 Special,08/01/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16647&CssClass=,Resolution on the death of Rosemary Dorothy O'Neill.,
RES 2022 #196,37,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16587&CssClass=,Congratulations on the Retirement of Thomas Mulford from the Housing Authority,
RES 2022 #197,38,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16594&CssClass=,Congratulations on the Retirement of Denise Sullivan from the Cambridge Public Schools,
RES 2022 #198,39,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16600&CssClass=,Congratulations on the Retirement of Maryellen Carvello from The City Manager's Office,
RES 2022 #199,40,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16601&CssClass=,Congratulations on the Retirement of Denis DeOliveira from the Housing Authority,
RES 2022 #200,41,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16605&CssClass=,Congratulations on the Retirement of Luis Ortiz from The Cambridge Housing Authority,
RES 2022 #201,42,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16606&CssClass=,Congratulations on the Retirement of Thomas Riordan from The Department of Public Works,
RES 2022 #202,43,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16670&CssClass=,In Appreciation of Marty Collins and His Family,
RES 2022 #203,44,08/01/22 Special,08/01/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16704&CssClass=,Congratulations to Firefighter Aaron Young,
RES 2022 #204,1,09/12/22 Regular,09/12/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16732&CssClass=,Congratulations and Thank you to Jack Woker and Stereo Jacks on almost forty years of service to the North Cambridge Community,
RES 2022 #205,2,09/12/22 Regular,09/12/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16733&CssClass=,Resolution on the death of Peter Valentine.,
RES 2022 #206,3,09/12/22 Regular,09/12/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16737&CssClass=,Resolution on the death of Monica Strauss.,
RES 2022 #207,4,09/12/22 Regular,09/12/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16750&CssClass=,Congratulations on the Retirement of Jean Spera from The Cambridge Public School Department,
RES 2022 #208,5,09/12/22 Regular,09/12/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16751&CssClass=,Resolution on the death of Maria de Castro Pereira.,
RES 2022 #209,6,09/12/22 Regular,09/12/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16752&CssClass=,Resolution on the death of Dennis Pontes.,
RES 2022 #210,7,09/12/22 Regular,09/12/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16755&CssClass=,"Congratulations to Becca Rutenberg on the occasion of being named by the Boston Business Journal as a 2022 ""40 under 40"" honoree.",
RES 2022 #211,8,09/12/22 Regular,09/12/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16756&CssClass=,Resolution on the death of Sheila Halloran-Dailey.,
RES 2022 #212,9,09/12/22 Regular,09/12/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16758&CssClass=,Resolution on the death of Harold Turcotte.,
RES 2022 #213,10,09/12/22 Regular,09/12/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16761&CssClass=,"Resolution on the death of Edward T. Loder, Jr.",
RES 2022 #214,11,09/12/22 Regular,09/12/22,Agenda Item,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16768&CssClass=,Congratulations to The Dance Complex on the occasion of its 30 year anniversary in Central Square.,
RES 2022 #215,12,09/12/22 Regular,09/12/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16769&CssClass=,Condolences to family of Margie Clay.,
RES 2022 #216,13,09/12/22 Regular,09/12/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16770&CssClass=,Condolences to family of Cherlyn Robinson.,
RES 2022 #217,14,09/12/22 Regular,09/12/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16771&CssClass=,Condolences to the family of Jewel Russell.,
RES 2022 #218,15,09/12/22 Regular,09/12/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16773&CssClass=,Condolences to the family of Deborah Anderson.,
RES 2022 #219,16,09/12/22 Regular,09/12/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16795&CssClass=,Resolution on the death of Mary Griffin.,
RES 2022 #220,17,09/12/22 Regular,09/12/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16796&CssClass=,"Congratulations to Erin Gullage and Gail Jones for being honored at this year’s Janet ""Ms. K"" Kendrick Sisters of the Center Awards Brunch at the Cambridge Community Center.",
RES 2022 #221,18,09/12/22 Regular,09/12/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16800&CssClass=,Congratulations to the Cambridge-Yerevan Sister City Association (CYSCA) on their 35th Anniversary.,
RES 2022 #222,19,09/12/22 Regular,09/12/22,Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16803&CssClass=,That the Cambridge City Council welcomes leaders Lorena Araujo and  Zulma Tobar of CRIPDES and US El Salvador Sister Cities to Cambridge to discuss their critical work for human rights in rural communities of El Salvador.,
RES 2022 #223,20,09/12/22 Regular,09/12/22,Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16813&CssClass=,"Appreciation to the Sufi Service Committee for their dedication and goodwill, congratulating them on another successful year fostering community, and wishing them continued success for many more years of service.",
RES 2022 #224,21,09/12/22 Regular,09/12/22,Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16814&CssClass=,Commending the American Cancer Fund for Children and Kids Cancer Connection for its fight against childhood cancer.,
RES 2022 #225,22,09/12/22 Regular,09/12/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16816&CssClass=,"Thanks to Chef Erin Miller for serving the Cambridge community through her talents and experiences, which were recognized through her impressive win at the 2022 Great American Seafood Cook-Off.",
RES 2022 #226,23,09/12/22 Regular,09/12/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16817&CssClass=,Happy 100th Birthday wishes to Ned Handy.,
RES 2022 #227,24,09/12/22 Regular,09/12/22,Retirement Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16820&CssClass=,Appreciation to Nancy Mahan on the occasion of her retirement from Bay Cove and thanks for her dedicated service and tireless dedication to some of our most vulnerable neighbors.,
RES 2022 #228,25,09/12/22 Regular,09/12/22,Happy Birthday Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16828&CssClass=,"Wishing Ilse Heyman a happy 100th birthday on September 17, 2022 and thanking her for her past service as a member of the Cambridge Peace Commission and for being a  powerful speaker to audiences, including middle school students, as a Holocaust survivor",
RES 2022 #229,26,09/12/22 Regular,09/12/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16829&CssClass=,That the Cambridge City Council go on record thanking all of the many volunteers who work tirelessly to operate this important bookshop and congratulate everyone involved with the Bryn Mawr Bookstore on their 50th anniversary and wishing them another 50 more.,
RES 2022 #230,27,09/12/22 Regular,09/12/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16830&CssClass=,That the Cambridge City Council go on record congratulating the owners and staff of the Phoenix Landing on their anniversary and thank them for being such great stewards and neighbors to our community.,
RES 2022 #231,1,09/19/22 Regular,09/19/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4178&MediaPosition=&ID=16824&CssClass=,Resolution on the death of Elie Yarden.,
