Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Yeas,Nays,Present,Absent,Recused,Link,Notes
CMA 2022 #90,2022-05-02 Regular,2022-05-02,5,Appropriation,,,,Passed to a Second Reading,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16199&CssClass=,
CMA 2022 #91,2022-05-02 Regular,2022-05-02,6,Appropriation,,,,Passed to a Second Reading,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16198&CssClass=,
CMA 2022 #92,2022-05-02 Regular,2022-05-02,7,Transmitting Communication,,,,Passed to a Second Reading,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16203&CssClass=,
CMA 2022 #93,2022-05-02 Regular,2022-05-02,8,Appropriation,,,,Adopted,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16204&CssClass=,
CMA 2022 #94,2022-05-02 Regular,2022-05-02,9,Appropriation,,,,Adopted,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16194&CssClass=,
CMA 2022 #95,2022-05-02 Regular,2022-05-02,10,Appropriation,,,,Adopted,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16195&CssClass=,
CMA 2022 #96,2022-05-02 Regular,2022-05-02,11,Appropriation,,,,Adopted,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16197&CssClass=,
CMA 2022 #97,2022-05-02 Regular,2022-05-02,12,Appropriation,,,,Adopted,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16208&CssClass=,
CMA 2022 #98,2022-05-02 Regular,2022-05-02,13,Appropriation,,,Quinton Zondervan,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16196&CssClass=,by zondervan
CMA 2022 #99,2022-05-02 Regular,2022-05-02,14,Transmitting Communication,,,,Adopted,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16190&CssClass=,
CMA 2022 #100,2022-05-09 Regular,2022-05-09,1,Awaiting Report Response,,POR 2022 #45,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4028&MediaPosition=&ID=16245&CssClass=,
CMA 2022 #101,2022-05-09 Regular,2022-05-09,2,Awaiting Report Response,,POR 2021 #273,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4028&MediaPosition=&ID=16242&CssClass=,
CMA 2022 #102,2022-05-09 Regular,2022-05-09,3,Awaiting Report Response,,POR 2022 #68,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4028&MediaPosition=&ID=16246&CssClass=,
CMA 2022 #103,2022-05-09 Regular,2022-05-09,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4028&MediaPosition=&ID=16247&CssClass=,
CMA 2022 #104,2022-05-09 Regular,2022-05-09,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4028&MediaPosition=&ID=16250&CssClass=,
CMA 2022 #105,2022-05-09 Regular,2022-05-09,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4028&MediaPosition=&ID=16252&CssClass=,
CMA 2022 #106,2022-05-09 Regular,2022-05-09,7,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4028&MediaPosition=&ID=16251&CssClass=,
CMA 2022 #107,2022-05-09 Regular,2022-05-09,8,Awaiting Report Response,,POR 2022 #82,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4028&MediaPosition=&ID=16253&CssClass=,
CMA 2022 #108,2022-05-09 Regular,2022-05-09,9,Transmitting Communication,,POR 2022 #81,,Referred to the Petition,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4028&MediaPosition=&ID=16254&CssClass=,CAL #9
CMA 2022 #109,2022-05-16 Regular,2022-05-16,1,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4029&MediaPosition=&ID=16286&CssClass=,
CMA 2022 #110,2022-05-16 Regular,2022-05-16,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4029&MediaPosition=&ID=16287&CssClass=,
CMA 2022 #111,2022-05-16 Regular,2022-05-16,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4029&MediaPosition=&ID=16285&CssClass=,
CMA 2022 #112,2022-05-16 Regular,2022-05-16,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4029&MediaPosition=&ID=16288&CssClass=,
CMA 2022 #113,2022-05-16 Regular,2022-05-16,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4029&MediaPosition=&ID=16289&CssClass=,
CMA 2022 #114,2022-05-16 Regular,2022-05-16,6,Transmitting Communication,,,,Referred to the Petition,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4029&MediaPosition=&ID=16301&CssClass=,CAL #2
CMA 2022 #115,2022-05-23 Regular,2022-05-23,1,Transmitting Communication,,,,Placed on File,8-0-1,yes,yes,yes,yes,absent,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4030&MediaPosition=&ID=16324&CssClass=,
CMA 2022 #116,2022-05-23 Regular,2022-05-23,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4030&MediaPosition=&ID=16325&CssClass=,
CMA 2022 #117,2022-05-23 Regular,2022-05-23,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4030&MediaPosition=&ID=16330&CssClass=,
CMA 2022 #118,2022-06-06 Regular,2022-06-06,1,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4071&MediaPosition=&ID=16382&CssClass=,
CMA 2022 #119,2022-06-06 Regular,2022-06-06,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4071&MediaPosition=&ID=16385&CssClass=,
CMA 2022 #120,2022-06-06 Regular,2022-06-06,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4071&MediaPosition=&ID=16386&CssClass=,
CMA 2022 #121,2022-06-06 Regular,2022-06-06,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4071&MediaPosition=&ID=16388&CssClass=,
CMA 2022 #122,2022-06-06 Regular,2022-06-06,5,Awaiting Report Response,,POR 2022 #54,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4071&MediaPosition=&ID=16384&CssClass=,
CMA 2022 #123,2022-06-06 Regular,2022-06-06,6,Transmitting Communication,,,,Ordained as Amended,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4071&MediaPosition=&ID=16389&CssClass=,
CMA 2022 #124,2022-06-13 Regular,2022-06-13,1,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4032&MediaPosition=&ID=16445&CssClass=,
CMA 2022 #125,2022-06-13 Regular,2022-06-13,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4032&MediaPosition=&ID=16470&CssClass=,
CMA 2022 #126,2022-06-13 Regular,2022-06-13,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4032&MediaPosition=&ID=16468&CssClass=,
CMA 2022 #127,2022-06-13 Regular,2022-06-13,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4032&MediaPosition=&ID=16469&CssClass=,
CMA 2022 #128,2022-06-13 Regular,2022-06-13,5,Transmitting Communication,,,,Referred to the Petition,8-0-1,yes,yes,yes,yes,yes,yes,absent,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4032&MediaPosition=&ID=16446&CssClass=,
CMA 2022 #129,2022-06-13 Regular,2022-06-13,6,Transmitting Communication,,,,Referred to the Petition,8-0-1,yes,yes,yes,yes,yes,yes,absent,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4032&MediaPosition=&ID=16387&CssClass=,
CMA 2022 #130,2022-06-13 Regular,2022-06-13,7,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4032&MediaPosition=&ID=16444&CssClass=,
CMA 2022 #131,2022-06-13 Regular,2022-06-13,8,Transmitting Communication,,,,Passed to a Second Reading,8-1-0,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4032&MediaPosition=&ID=16471&CssClass=,
CMA 2022 #132,2022-06-13 Regular,2022-06-13,9,Awaiting Report Response,,POR 2022 #42,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4032&MediaPosition=&ID=16480&CssClass=,
CMA 2022 #133,2022-06-13 Regular,2022-06-13,10,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4032&MediaPosition=&ID=16476&CssClass=,4 Order's Adopted
CMA 2022 #134,2022-06-13 Regular,2022-06-13,11,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4032&MediaPosition=&ID=16473&CssClass=,
CMA 2022 #135,2022-06-27 Regular,2022-06-27,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16535&CssClass=,
CMA 2022 #136,2022-06-27 Regular,2022-06-27,2,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16533&CssClass=,
CMA 2022 #137,2022-06-27 Regular,2022-06-27,3,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16534&CssClass=,
CMA 2022 #138,2022-06-27 Regular,2022-06-27,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16524&CssClass=,
CMA 2022 #139,2022-06-27 Regular,2022-06-27,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16525&CssClass=,
CMA 2022 #140,2022-06-27 Regular,2022-06-27,6,Awaiting Report Response,,POR 2022 #89,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16532&CssClass=,
CMA 2022 #141,2022-06-27 Regular,2022-06-27,7,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16528&CssClass=,
CMA 2022 #142,2022-06-27 Regular,2022-06-27,8,Appropriation,,,Quinton Zondervan,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16538&CssClass=,EXERCISED BY COUNCILLOR ZONDERVAN
CMA 2022 #143,2022-06-27 Regular,2022-06-27,9,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16526&CssClass=,
CMA 2022 #144,2022-06-27 Regular,2022-06-27,10,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16527&CssClass=,
CMA 2022 #145,2022-06-27 Regular,2022-06-27,11,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16529&CssClass=,
CMA 2022 #146,2022-06-27 Regular,2022-06-27,12,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4072&MediaPosition=&ID=16566&CssClass=,ADOPTED 3 ORDERS
CMA 2022 #147,2022-08-01 Special,2022-08-01,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16645&CssClass=,
CMA 2022 #148,2022-08-01 Special,2022-08-01,2,Transmitting Communication,,,,Approved,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16652&CssClass=,
CMA 2022 #149,2022-08-01 Special,2022-08-01,3,Transmitting Communication,,,,Approved,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16653&CssClass=,
CMA 2022 #150,2022-08-01 Special,2022-08-01,4,Transmitting Communication,,,,Approved,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16667&CssClass=,
CMA 2022 #151,2022-08-01 Special,2022-08-01,5,Transmitting Communication,,,,Approved,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16648&CssClass=,
CMA 2022 #152,2022-08-01 Special,2022-08-01,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16640&CssClass=,
CMA 2022 #153,2022-08-01 Special,2022-08-01,7,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16646&CssClass=,
CMA 2022 #154,2022-08-01 Special,2022-08-01,8,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16630&CssClass=,
CMA 2022 #155,2022-08-01 Special,2022-08-01,9,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16637&CssClass=,
CMA 2022 #156,2022-08-01 Special,2022-08-01,10,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16632&CssClass=,
CMA 2022 #157,2022-08-01 Special,2022-08-01,11,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16633&CssClass=,
CMA 2022 #158,2022-08-01 Special,2022-08-01,12,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16634&CssClass=,
CMA 2022 #159,2022-08-01 Special,2022-08-01,13,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16635&CssClass=,
CMA 2022 #160,2022-08-01 Special,2022-08-01,14,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16636&CssClass=,
CMA 2022 #161,2022-08-01 Special,2022-08-01,15,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16638&CssClass=,
CMA 2022 #162,2022-08-01 Special,2022-08-01,16,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16639&CssClass=,
CMA 2022 #163,2022-08-01 Special,2022-08-01,17,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16642&CssClass=,
CMA 2022 #164,2022-08-01 Special,2022-08-01,18,Awaiting Report Response,AR-22-31,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16649&CssClass=,
CMA 2022 #165,2022-08-01 Special,2022-08-01,19,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16650&CssClass=,
CMA 2022 #166,2022-08-01 Special,2022-08-01,20,Awaiting Report Response,AR-21-35,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16666&CssClass=,Housing Committee
CMA 2022 #167,2022-08-01 Special,2022-08-01,21,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4102&MediaPosition=&ID=16668&CssClass=,
CMA 2022 #168,2022-09-12 Regular,2022-09-12,1,Transmitting Communication,,,,Placed on File,8-0-1,yes,yes,yes,yes,yes,yes,absent,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16776&CssClass=,
CMA 2022 #169,2022-09-12 Regular,2022-09-12,2,Awaiting Report Response,,POR 2022 #144,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16766&CssClass=,
CMA 2022 #170,2022-09-12 Regular,2022-09-12,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16791&CssClass=,
CMA 2022 #171,2022-09-12 Regular,2022-09-12,4,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16790&CssClass=,19 ORDERS ADOPTED
CMA 2022 #172,2022-09-12 Regular,2022-09-12,5,Awaiting Report Response,AR-22-47,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16809&CssClass=,
CMA 2022 #173,2022-09-12 Regular,2022-09-12,6,Awaiting Report Response,AR-21-49,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16797&CssClass=,
CMA 2022 #174,2022-09-12 Regular,2022-09-12,7,Awaiting Report Response,AR-22-27,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16799&CssClass=,
CMA 2022 #175,2022-09-12 Regular,2022-09-12,8,Awaiting Report Response,AR-22-19,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16801&CssClass=,
CMA 2022 #176,2022-09-12 Regular,2022-09-12,9,Awaiting Report Response,AR-22-22,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16792&CssClass=,
CMA 2022 #177,2022-09-12 Regular,2022-09-12,10,Awaiting Report Response,AR-22-17,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16772&CssClass=,
