"Unique Identifier","Agenda Number","Meeting","Meeting Date","Category","Awaiting Report","Policy Order","Charter Right","Outcome","Vote","Type of Vote","E. Denise Simmons","Marc C. McGovern","Burhan Azeem","Patricia Nolan","Sumbul Siddiqui","Paul F. Toner","Ayesha M. Wilson","Jivan Sobrinho-Wheeler","Catherine Zusy","Yeas","Nays","Present","Absent","Link","Summary"
"CMA 2025 #35","2","2025-03-17 Regular","45733","Communication","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27835&CssClass=","an update regarding Federal funding."
"CMA 2025 #36","3","2025-03-17 Regular","45733","Communication","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27803&CssClass=","the reappointment of Michael P. Gardner as a member of the Cambridge Retirement Board for a term of three years, effective March 1, 2025."
"CMA 2025 #37","4","2025-03-17 Regular","45733","Appropriation","","","","Approved","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27861&CssClass=","transfer of $140,000 from the General Fund Department of Transportation Salary and Wages account to the General Fund Department of Transportation Travel and Training (Judgment and Damages) account to cover current and anticipated medical services and/or prescription reimbursement costs for the remainder of the fiscal year, and a lump sum settlement for Traffic and Parking personnel injured in the performance of their duties."
"CMA 2025 #38","5","2025-03-17 Regular","45733","Appropriation","","","","Approved","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27839&CssClass=","Appropriation of 5,000.00 received from the Massachusetts Department of Environmental Protection (MassDEP) to the Grant Fund Public Works Extraordinary Expenditures account to purchase a new Universal Waste Shed for the DPW Recycle Center. The grant will enable the City to support the Recycle Center and protect the environment by providing a larger space for collecting batteries and fluorescent light bulbs before a contractor hauls them away for safe processing."
"CMA 2025 #39","6","2025-03-17 Regular","45733","Appropriation","","","","Approved","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27840&CssClass=","Appropriation of $97,500, to the Grant Fund Public Works Other Ordinary Maintenance Account. These funds will be used to support the implementation of the Zero Waste Master Plan 2.0 through outreach, education, and technical assistance to residents; improving the Recycle Center; and conducting a waste characterization study."
"CMA 2025 #40","7","2025-03-17 Regular","45733","Appropriation","","","","Approved","","Roll Call","yes","yes","yes","no","no","yes","yes","no","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Paul F. Toner, Ayesha M. Wilson, Catherine Zusy","Patricia Nolan, Sumbul Siddiqui, Jivan Sobrinho-Wheeler","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27843&CssClass=","Appropriation of $570,000 from Free Cash to the Public Investment Fund Police Extraordinary Expenditures account for the procurement of replacement firearms for the Police Department. These funds would support the purchase of replacement firearms for the Department. Police Department firearms are typically replaced on approximately a ten-year cycle. The manufacturer has ceased production of the model currently used and replacements are almost impossible to source. It is important that department personnel are all trained on the same firearm to ensure safety and interoperability."
"CMA 2025 #41","8","2025-03-17 Regular","45733","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27845&CssClass=","Appropriation of $160,000 from Free Cash to the Public Investment Fund Police Extraordinary Expenditures account for the procurement of a new fully electric accessible transport wagon. This funding will allow the purchase of a fully electric, American Disabilities Act (ADA) compliant transport wagon to replace one of the aging F350s. The new vehicle will ensure the safe and comfortable transport of community members to court, shelters, and other service providers."
"CMA 2025 #42","9","2025-03-17 Regular","45733","Appropriation","","","","Approved","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27863&CssClass=","Appropriation of $30,000,000 from Free Cash to the Debt Stabilization Fund. This appropriation will be used to mitigate anticipated debt service costs in future years for the City’s major capital projects."
"CMA 2025 #43","10","2025-03-17 Regular","45733","Appropriation","","","","Approved","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27877&CssClass=","transfer of $75,000 from the General Fund Human Resources Salaries and Wages account to the General Fund Human Resources Other Ordinary Maintenance (Professional and Technical) account to obtain a Benefits Broker that can provide comprehensive consulting and advisory services to support the city’s employee and retiree benefits programs, including health, vision, dental, flexible spending, and life insurance. "
"CMA 2025 #44","11","2025-03-17 Regular","45733","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27869&CssClass=","Appropriation of $468,750 to the Grant Fund Fire Extraordinary Expenditures account ($438,750) and to the Grant Fund Fire Travel and Training account ($30,000)."
"CMA 2025 #45","12","2025-03-17 Regular","45733","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27867&CssClass=","Appropriation of$50,000, to the Grant Fund Fire Extraordinary Expenditures account. Funds will be used to purchase additional nozzles/tips, gauges, and adaptors for high-rise hose kits which were purchased with previous grant monies to be deployed for battling high-rise incidents. The rescue equipment (harnesses) will be used for industrial and rope rescue incidents."
"CMA 2025 #46","13","2025-03-17 Regular","45733","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27865&CssClass=","Appropriation of $39,600.00 to the Grant Fund Fire Extraordinary Expenditures account. The funds will be used for the purchase boots for tech rescue companies, rescue gloves for members of the department, and uniforms and training for the bicycle team."
"CMA 2025 #47","14","2025-03-17 Regular","45733","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27864&CssClass=","Appropriation of $250,000, from Free Cash to the General Fund Law Department Other Ordinary Maintenance account. The funds will be used to cover unanticipated increases in costs, as well as future expenses through the end of the fiscal year, relating to legal matters handled by outside counsel legal services, stenographers and court reporters, constable services, consultants and experts, as well as filing fees and related costs in matters pending in courts and/or administrative bodies."
"CMA 2025 #48","15","2025-03-17 Regular","45733","Appointment","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27816&CssClass=","the appointments and reappointments  of members to the Climate Committee."
"CMA 2025 #49","16","2025-03-17 Regular","45733","Awaiting Report Response","","POR 2024 #142","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27847&CssClass=","Awaiting Report Item Number #24-62, regarding an update on recommendations and planned next steps from the City’s study of resident experiences of inclusion and bias in Inclusionary Housing in Cambridge."
"CMA 2025 #50","17","2025-03-17 Regular","45733","Awaiting Report Response","","POR 2024 #162","","Adopted and Referred","","Roll Call","yes","yes","yes","yes","yes","yes","yes","absent","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Catherine Zusy","","","Jivan Sobrinho-Wheeler","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27832&CssClass=","Policy Order Item Number 2024-162, regarding proposed amendments to the Cannabis Business Ordinance to add select HCA requirements so the city can waive the HCA requirement and zoning amendment to remove repackaging prohibition."
"CMA 2025 #51","18","2025-03-17 Regular","45733","Appointment","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27846&CssClass=","Appointments of members to the Cambridge Kiosk Advisory Committee."
"CMA 2025 #52","19","2025-03-17 Regular","45733","Awaiting Report Response","","POR 2025 #16","","Adopted and Referred","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","present","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler","","Catherine Zusy","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27833&CssClass=","Awaiting Report Item Number PO #2025-16, regarding permissible height increases under the Affordable Housing Overlay (AHO) in the Zoning Ordinance."
"CMA 2025 #53","20","2025-03-17 Regular","45733","Awaiting Report Response","","POR 2024 #131","","Referred","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27862&CssClass=","Awaiting Report Item Number #24-58, regarding the feasibility of a successor program to Rise Up Cambridge."
"CMA 2025 #54","1","2025-03-24 Regular","45740","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27961&CssClass=","recommendations for the block rates for water consumption and sewer use for the period beginning April 1, 2025 and ending March 31, 2026."
"CMA 2025 #55","2","2025-03-24 Regular","45740","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27943&CssClass=","the City of Cambridge retaining its AAA rating from the nation's three major credit rating agencies."
"CMA 2025 #56","3","2025-03-24 Regular","45740","Appointment","","","","Placed on File","","Roll Call","yes","yes","yes","yes","yes","yes","absent","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Jivan Sobrinho-Wheeler, Catherine Zusy","","","Ayesha M. Wilson","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27945&CssClass=","the appointment of Yoyo Yau to the Coordinating Council for Children Youth and Families (also known as “Family Policy Council”) effective March 24, 2025."
"CMA 2025 #57","4","2025-03-24 Regular","45740","Communication","","","","Referred to Committee","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27965&CssClass=","Proposed Amendments -- Cambridge Municipal Code 13.08, Water System Regulations and Chapter 13.12, Water Reservoirs."
"CMA 2025 #58","5","2025-03-24 Regular","45740","Appropriation","","","","Approved","","Roll Call","yes","yes","yes","yes","yes","yes","absent","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Jivan Sobrinho-Wheeler, Catherine Zusy","","","Ayesha M. Wilson","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27986&CssClass=","Appropriation of $346,020, from Free Cash, to the General Fund Public Works Department Other Ordinary Maintenance account for expenses associated with pre-treating and salting of roads, snow plowing and snow removal contracts."
"CMA 2025 #59","6","2025-03-24 Regular","45740","Appropriation","","","","Approved","","Roll Call","yes","absent","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","Marc C. McGovern","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27996&CssClass=","Appropriation of $500,000 from Free Cash to the Public Investment Fund Public Works Department Extraordinary Expenditures account, for street repairs required due to significant winter weather damage. This season the Department had sixteen salting, three plowing and two hauling events to pre-treat, de-ice and clear roads, sidewalks and bike lanes."
"CMA 2025 #60","7","2025-03-24 Regular","45740","Awaiting Report Response","","POR 2025 #23","","Placed on File","","Roll Call","yes","yes","yes","yes","yes","yes","absent","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Jivan Sobrinho-Wheeler, Catherine Zusy","","","Ayesha M. Wilson","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27980&CssClass=","Awaiting Report Item Number 25-14, regarding a report on snow operations with a focus on crosswalks and pedestrian islands."
"CMA 2025 #61","8","2025-03-24 Regular","45740","Awaiting Report Response","","POR 2025 #17","","Placed on File","","Roll Call","yes","yes","yes","yes","yes","yes","absent","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Jivan Sobrinho-Wheeler, Catherine Zusy","","","Ayesha M. Wilson","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27990&CssClass=","Awaiting Report Item Number 25-17, regarding explore potential actions the City can take to mitigate the impact of Eversource price hikes, staff have provided an update on recent cost increases and various City and Eversource support programs."
"CMA 2025 #62","9","2025-03-24 Regular","45740","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=28005&CssClass=","Appropriation of $289,000 from the Mitigation Revenue Stabilization Fund to the Public Investment Fund Community Development Extraordinary Expenditures account. These mitigation funds will be used to maintain Bluebikes bikeshare equipment in a state of good repair."
"CMA 2025 #63","10","2025-03-24 Regular","45740","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=28020&CssClass=","a summary of a Planning Board Meeting on the 2024 Town Gown Reports and Presentations."
"CMA 2025 #64","11","2025-03-24 Regular","45740","Communication","","","","Approved","","Roll Call","yes","yes","yes","yes","yes","yes","absent","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Jivan Sobrinho-Wheeler, Catherine Zusy","","","Ayesha M. Wilson","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=28010&CssClass=","a proposed Home Rule Petition prepared by the Law Department which would raise the sound business practices and written quote contract thresholds under M.G.L. c. 30B for City contracts with certified disadvantaged businesses."
"CMA 2025 #65","12","2025-03-24 Regular","45740","Awaiting Report Response","","POR 2025 #12","","Placed on File","","Roll Call","yes","yes","yes","yes","yes","yes","absent","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Jivan Sobrinho-Wheeler, Catherine Zusy","","","Ayesha M. Wilson","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=28029&CssClass=","Awaiting Report Item Number 25-7, regarding a request to work with appropriate departments to prepare a communication to DCR Commissioner Arrigo, urging that a study of traffic conditions at the intersections of Western Avenue and River Street at Memorial Drive and Soldiers Field Road (commonly referred to as “the box”), be included in their FY26 Capital Plan, with the goals of improving efficiency and safety at these intersections."
"CMA 2025 #66","13","2025-03-24 Regular","45740","Communication","","","Burhan Azeem","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=28031&CssClass=","renewal of the Half Crown-Marsh Neighborhood Conservation District"
"CMA 2025 #67","1","2025-03-31 Regular","45747","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28188&CssClass=","a Federal update."
"CMA 2025 #68","2","2025-03-31 Regular","45747","Awaiting Report Response","AR-24-53","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28205&CssClass=","Awaiting Report Item Number 24-53, regarding assisting companies, institutions, and other organizations in adopting truck safety requirements."
"CMA 2025 #69","3","2025-03-31 Regular","45747","Awaiting Report Response","AR-24-66","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28207&CssClass=","Awaiting Report Item Number 24-66 regarding an automated parking enforcement draft home rule petition."
"CMA 2025 #70","4","2025-03-31 Regular","45747","Awaiting Report Response","AR-25-2","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28165&CssClass=","Awaiting Report Item Number 25-02, which requested that the City Manager ensure adherence to the existing prevailing wage ordinance, maintenance of consistent wage rates, provision of comprehensive employer-paid benefits, and development of a clear local employment strategy in relation to the construction of a new substation and the installation of duct banks."
"CMA 2025 #71","5","2025-03-31 Regular","45747","Awaiting Report Response","AR-24-68","","Jivan Sobrinho-Wheeler","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28203&CssClass=","Awaiting Report Item Number 24-68 regarding Garden Street two-way traffic alternatives."
"CMA 2025 #72","6","2025-03-31 Regular","45747","Communication","","","","Adopted as Council Petition","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28153&CssClass=","Floodplain Zoning Amendments."
"CMA 2025 #73","7","2025-03-31 Regular","45747","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28105&CssClass=","a memo regarding 84 and 96 Bishop Allen RFI submission responses and next steps."
"CMA 2025 #74","8","2025-03-31 Regular","45747","Awaiting Report Response","AR-25-17","","","Placed on File","","Roll Call","yes","yes","yes","yes","yes","yes","absent","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Jivan Sobrinho-Wheeler, Catherine Zusy","","","Ayesha M. Wilson","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28213&CssClass=","Awaiting Report Item Numb #25-17 which requested that the City Manager be and hereby is requested to appoint the members of a working committee tasked with integrating the objectives of both the Task Force to Examine the Status and Wellbeing of the City’s African American/Black Population and the Commission on the Status of Black Men and Boys into a unified, actionable framework."
"CMA 2025 #75","9","2025-03-31 Regular","45747","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28212&CssClass=","an update on Harvard PILOT negotiations."
"CMA 2025 #76","1","2025-04-07 Regular","45754","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4648&MediaPosition=&ID=28488&CssClass=","A communication transmitted from Yi-An Huang, City Manager, relative to Cambridge Public Schools' long-term facilities condition assessment."
"CMA 2025 #77","2","2025-04-07 Regular","45754","Appointment","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4648&MediaPosition=&ID=28312&CssClass=","A communication transmitted from Yi-An Huang, City Manager, relative to the re-appointment of Karim El Razzaz and the appointment of Raul Ripoll Vera and Sarah Figge Hussain as a members of the Commission on Immigrant Rights and Citizenship."
"CMA 2025 #78","3","2025-04-07 Regular","45754","Appropriation","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4648&MediaPosition=&ID=28300&CssClass=","Appropriation of $15,000, to the Grant Fund Emergency Communications Extraordinary Expenditures account. Funds will be used to support a Mass Notification System Service to continue and enhance efforts to notify the public of emergency situations."
"CMA 2025 #79","4","2025-04-07 Regular","45754","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4648&MediaPosition=&ID=28843&CssClass=","A communication transmitted from Yi-An Huang, City Manager, relative to a proposed amendment to the Drought Ordinance."
"CMA 2025 #80","1","2025-04-14 Regular","45761","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29124&CssClass=","A federal update."
"CMA 2025 #81","2","2025-04-14 Regular","45761","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29133&CssClass=","The city of cambridge fy 2024 annual comprehensive financial report."
"CMA 2025 #82","3","2025-04-14 Regular","45761","Awaiting Report Response","AR-24-67","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29123&CssClass=","Awaiting report item number 24-67  regarding cambridge bicycle plan update and consideration of network connections."
"CMA 2025 #83","4","2025-04-14 Regular","45761","Awaiting Report Response","AR-25-6","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=28994&CssClass=","Awaiting report item number 25-6 regarding safety improvements at the intersection of cambridge street, cardinal medeiros avenue, and warren street."
"CMA 2025 #84","5","2025-04-14 Regular","45761","Awaiting Report Response","AR-25-23","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29135&CssClass=","Awaiting report item number 25-23 regarding a citywide shuttle bus pilot program."
"CMA 2025 #85","6","2025-04-14 Regular","45761","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29031&CssClass=","Appropriation of $15,000.00 to the grant fund human service programs other ordinary maintenance account. funds are to be used to support the cambridge food pantry network."
"CMA 2025 #86","7","2025-04-14 Regular","45761","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29043&CssClass=","Appropriation of $57,626.50 to the grant fund human service programs salary and wages account. these funds will be used to reimburse the city for salary and program costs associated with enrolling income-eligible youth in the mayor’s summer youth employment program."
"CMA 2025 #87","8","2025-04-14 Regular","45761","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29022&CssClass=","Appropriation of $17,621.00 to the grant fund human service programs other ordinary maintenance account. funds will be used for program supplies, the summer food program kick off event held in june, and outreach and community engagement to encourage program participation throughout the summer."
"CMA 2025 #88","9","2025-04-14 Regular","45761","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29044&CssClass=","Appropriation of $77,100.00 to the grant fund human service programs salary and wages account ($70,560.00) and to the grant fund human service programs other ordinary maintenance account ($6,540.00). funds will be used for the cambridge youth programs boys ii men internship (created in 2012) and the blooming into womanhood internship program."
"CMA 2025 #89","10","2025-04-14 Regular","45761","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29042&CssClass=","Appropriation of $504,198.00 funded by the federal department of health and human services and administered by the massachusetts executive office of housing and livable communities (eohlc) to the grant fund human service programs other ordinary maintenance account."
"CMA 2025 #90","11","2025-04-14 Regular","45761","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29045&CssClass=","Appropriation of $57,900, to the public investment fund public works extraordinary expenditures account. this grant continues the work started last year under a similar grant to develop resources for municipalities focused on inspection and maintenance of stormwater treatment systems."
"CMA 2025 #91","1","2025-04-28 Regular","45775","Appropriation","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29277&CssClass=","Appropriation of $1,000,000 from the school department salary and wages account to the school department other ordinary maintenance account ($600,000) and the school department travel and training account ($400,000). the transfer will be used to fund the costs of medical services and bills for staff receiving worker's compensation and settlement costs related to school department personnel and/or students, as well as for increased costs for transportation for students experiencing homelessness, eligible through the mckinney-vento act."
"CMA 2025 #92","2","2025-04-28 Regular","45775","Appropriation","","","","Referred to Committee","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29311&CssClass=","The fy 2026 submitted budget and appropriation orders for the general fund, water fund, and public investment fund."
"CMA 2025 #93","3","2025-04-28 Regular","45775","Appropriation","","","","Referred to Committee","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29298&CssClass=","Appropriation and authorization to borrow $7,500,000 to provide funds for the design and construction of open space at ahern field and surrounding amenities."
"CMA 2025 #94","4","2025-04-28 Regular","45775","Appropriation","","","","Referred to Committee","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29300&CssClass=","Appropriation and authorization to borrow $16,500,000 to provide funds for the reconstruction of various city streets and sidewalks."
"CMA 2025 #95","5","2025-04-28 Regular","45775","Appropriation","","","","Referred to Committee","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29303&CssClass=","Appropriation and authorization to borrow $11,100,000 to provide funds for the municipal facilities improvement plan. funds will support significant building improvements and deferred maintenance projects. proposed projects include but are not limited to upgrades of public works facilities, municipal offices, youth centers, branch libraries, fire stations, and deferred maintenance."
"CMA 2025 #96","6","2025-04-28 Regular","45775","Appropriation","","","","Referred to Committee","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29304&CssClass=","Appropriation and authorization to borrow $19,986,000 to provide funds for financing school building upgrades."
